bootstrap_iteration,comparison,macro_AUROC,macro_AUPRC,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap
0,Static GRL - Baseline,0.001465139813159655,-2.013667856248791e-05,-0.009333767253734634,-0.004275475655197963,-0.008213798565748102,0.006557994355200769,-0.003070039676051517
0,Standard Dynamic GRL - Baseline,-0.002104481492925303,-0.0034082463843191357,0.011884626211089822,-0.005159271493892349,0.010596948420923992,-0.014196418404428146,-0.0018690679022136843
0,Standard Dynamic GRL - Static GRL,-0.003569621306084958,-0.003388109705756648,0.021218393464824455,-0.0008837958386943862,0.018810746986672094,-0.020754412759628915,0.0012009717738378327
0,Final Dynamic - Baseline,0.0027786338980585468,0.004056728531873055,-0.007161453578603216,-0.005527406381255727,-0.007438276710604513,0.010689846189302854,-0.0012695870826770483
0,Final Dynamic - Static GRL,0.0013134940848988919,0.004076865210435543,0.002172313675131418,-0.0012519307260577643,0.0007755218551435891,0.004131851834102085,0.0018004525933744686
0,Final Dynamic - Standard Dynamic GRL,0.00488311539098385,0.007464974916192191,-0.019046079789693037,-0.0003681348873633781,-0.018035225131528505,0.024886264593731,0.0005994808195366359
1,Static GRL - Baseline,0.0010427378389673558,0.0004971210336943144,0.0038223208282430338,-0.0028914569814150366,3.18982759216907e-05,0.002058634227396272,-0.0027582797038526487
1,Standard Dynamic GRL - Baseline,-0.001927515594258189,-0.0007956048378937597,0.0030436029295105235,-0.004453229479670787,0.0001617850093213885,-0.00761322162030853,-0.0028647510010233433
1,Standard Dynamic GRL - Static GRL,-0.002970253433225545,-0.001292725871588074,-0.0007787178987325102,-0.0015617724982557504,0.0001298867333996978,-0.009671855847704802,-0.00010647129717069465
1,Final Dynamic - Baseline,0.0024198413763169,0.004645750256252634,0.002108577355860203,-0.0043972087099157404,-0.00269326136247023,0.009387303314823625,2.5106270096188904e-05
1,Final Dynamic - Static GRL,0.0013771035373495444,0.00414862922255832,-0.001713743472382831,-0.0015057517285007038,-0.0027251596383919205,0.007328669087427353,0.0027833859739488376
1,Final Dynamic - Standard Dynamic GRL,0.004347356970575089,0.005441355094146394,-0.0009350255736503207,5.602076975504654e-05,-0.0028550463717916183,0.017000524935132155,0.0028898572711195322
2,Static GRL - Baseline,-0.00010453619836581218,0.0011176181089618265,-0.002079473521516037,0.0015791945806847736,-0.0012129286136711714,0.003090728670930576,-0.00025916672218350215
2,Standard Dynamic GRL - Baseline,-0.0022336752150622363,-0.0024918913168451295,-0.0020729500836185327,-0.0018622063182609748,-0.0016031420205965263,-0.0058572734012604655,-0.0018357538439495742
2,Standard Dynamic GRL - Static GRL,-0.002129139016696424,-0.003609509425806956,6.523437897504314e-06,-0.0034414008989457484,-0.0003902134069253549,-0.008948002072191041,-0.001576587121766072
2,Final Dynamic - Baseline,0.002148304108383292,0.005884068054496594,-0.014287794075865841,-0.0057984580001492775,-0.014742913502826784,0.017027054361723692,-0.001617179621979473
2,Final Dynamic - Static GRL,0.0022528403067491043,0.0047664499455347675,-0.012208320554349804,-0.007377652580834051,-0.013529984889155612,0.013936325690793117,-0.0013580128997959708
2,Final Dynamic - Standard Dynamic GRL,0.004381979323445528,0.008375959371341724,-0.012214843992247308,-0.003936251681888303,-0.013139771482230257,0.022884327762984158,0.00021857422197010118
3,Static GRL - Baseline,0.0006282275284499317,0.00037054914005268946,-0.009872921871502342,-0.003960722028450003,-0.008738243973517051,0.005687654365760686,0.0028554141919812422
3,Standard Dynamic GRL - Baseline,-0.0007603010584488201,0.0006090791337838852,0.0009161916001246898,-0.005197852485747669,0.0006357448570049815,-0.005053501604200761,0.0016467025048186711
3,Standard Dynamic GRL - Static GRL,-0.0013885285868987518,0.00023852999373119577,0.010789113471627032,-0.0012371304572976662,0.009373988830522033,-0.010741155969961447,-0.001208711687162571
3,Final Dynamic - Baseline,0.0028280808777251254,0.005637736481722555,-0.014550727857787688,-0.008775503339489038,-0.01464368455147852,0.019181490174989158,0.0009530280284430984
3,Final Dynamic - Static GRL,0.0021998533492751937,0.005267187341669866,-0.004677805986285345,-0.004814781311039035,-0.005905440577961468,0.013493835809228472,-0.0019023861635381438
3,Final Dynamic - Standard Dynamic GRL,0.0035883819361739455,0.00502865734793867,-0.015466919457912377,-0.003577650853741369,-0.015279429408483501,0.02423499177918992,-0.0006936744763755727
4,Static GRL - Baseline,0.00060312714301336,-0.0012287662514048892,-0.0008107089811341325,-0.0049288471876521665,-2.9795730981399537e-05,0.0013982087526068776,-0.00047421540391366646
4,Standard Dynamic GRL - Baseline,-0.0011070022864098084,-0.005499066022074006,-0.0027288733598140463,-0.003961828307496328,-0.002658188781915767,-0.009534008270625727,-0.0004730787209657611
4,Standard Dynamic GRL - Static GRL,-0.0017101294294231684,-0.004270299770669117,-0.0019181643786799138,0.0009670188801558389,-0.0026283930509343675,-0.010932217023232604,1.1366829479053653e-06
4,Final Dynamic - Baseline,0.0021013196363929287,0.005386896649735462,-0.01219870143242862,-0.006382239024886381,-0.010698676625873843,0.014994851549444244,-0.0017098489398614143
4,Final Dynamic - Static GRL,0.0014981924933795687,0.006615662901140351,-0.011387992451294487,-0.0014533918372342143,-0.010668880894892444,0.013596642796837366,-0.0012356335359477479
4,Final Dynamic - Standard Dynamic GRL,0.003208321922802737,0.010885962671809468,-0.009469828072614574,-0.002420410717390053,-0.008040487843958076,0.02452885982006997,-0.0012367702188956532
5,Static GRL - Baseline,0.001057460937693766,0.00047876282642550505,0.003819248435573401,-0.004193099275484603,0.0036222265327154335,0.0008825421515723519,-0.0044419135117496344
5,Standard Dynamic GRL - Baseline,-0.0018316471031757375,-0.0007395830460579234,0.012890270097483177,-0.003880880947079012,0.012412147072110767,-0.010935669701267858,-0.0012885081086144966
5,Standard Dynamic GRL - Static GRL,-0.0028891080408695036,-0.0012183458724834284,0.009071021661909776,0.00031221832840559044,0.008789920539395334,-0.01181821185284021,0.003153405403135138
5,Final Dynamic - Baseline,0.001705292929572555,0.004245719894649669,-0.005032022822489164,-0.0023947458059370343,-0.0059160439530382206,0.009424786738755297,-0.001720812288378712
5,Final Dynamic - Static GRL,0.0006478319918787889,0.0037669570682241638,-0.008851271258062565,0.0017983534695475683,-0.009538270485753654,0.008542244587182946,0.0027211012233709225
5,Final Dynamic - Standard Dynamic GRL,0.0035369400327482925,0.004985302940707592,-0.01792229291997234,0.0014861351411419779,-0.018328191025148988,0.020360456440023156,-0.00043230417976421534
6,Static GRL - Baseline,0.0013519766778880005,0.0024690383571052688,-0.0017055034399528213,-0.002371203751048351,-0.0021123381619970252,0.011861411595618654,-0.0028291267253959893
6,Standard Dynamic GRL - Baseline,-0.0009921937543818649,-0.0020039301700585654,0.00684281329894576,-0.003914786457264596,0.007425460040561702,-0.006192433748001824,-0.0004021960214263907
6,Standard Dynamic GRL - Static GRL,-0.0023441704322698653,-0.004472968527163834,0.008548316738898581,-0.0015435827062162451,0.009537798202558727,-0.018053845343620478,0.0024269307039695986
6,Final Dynamic - Baseline,0.00232688318054608,0.0051052495308338,-0.013930581767419188,-0.006835075959205954,-0.014085943727020905,0.019539074818840207,-0.00180576635299356
6,Final Dynamic - Static GRL,0.0009749065026580794,0.002636211173728531,-0.012225078327466367,-0.004463872208157603,-0.01197360556502388,0.007677663223221554,0.0010233603724024293
6,Final Dynamic - Standard Dynamic GRL,0.0033190769349279448,0.007109179700892365,-0.02077339506636495,-0.002920289501941358,-0.021511403767582607,0.025731508566842032,-0.0014035703315671694
7,Static GRL - Baseline,0.0014141610245084202,-0.0003083081280897959,-0.015593224760297786,-0.00737154824252355,-0.015533317359053861,0.011159467101387932,-0.002608804666884172
7,Standard Dynamic GRL - Baseline,0.00020065728947160633,-3.1307884787279416e-05,-0.004652227743904773,-0.005648186644871855,-0.005053409947962946,0.0028099569282042935,-0.001334739711046461
7,Standard Dynamic GRL - Static GRL,-0.0012135037350368139,0.0002770002433025165,0.010940997016393013,0.0017233615976516951,0.010479907411090915,-0.008349510173183639,0.0012740649558377112
7,Final Dynamic - Baseline,0.0025756511438510543,0.0030874610895857413,-0.027760383411117966,-0.009351848645179486,-0.027316526910883047,0.021667436505635795,-0.002254940692962174
7,Final Dynamic - Static GRL,0.0011614901193426341,0.003395769217675537,-0.01216715865082018,-0.0019803004026559354,-0.011783209551829186,0.010507969404247863,0.000353863973921998
7,Final Dynamic - Standard Dynamic GRL,0.002374993854379448,0.0031187689743730207,-0.023108155667213193,-0.0037036620003076306,-0.0222631169629201,0.018857479577431502,-0.0009202009819157132
8,Static GRL - Baseline,0.0013679540132508494,0.002093009772667187,-0.008745926265973078,-0.002729109657510144,-0.008012732319132063,0.010141725019751968,-0.0018139905539568332
8,Standard Dynamic GRL - Baseline,-0.0012372557157782627,-0.0012978568650181543,-0.0026221711421196697,-0.0026533522534240156,-0.00381511052835648,0.0009971726802406877,-0.0004494046197546786
8,Standard Dynamic GRL - Static GRL,-0.002605209729029112,-0.0033908666376853414,0.006123755123853408,7.575740408612835e-05,0.0041976217907755825,-0.00914455233951128,0.0013645859342021546
8,Final Dynamic - Baseline,0.0031428851496132504,0.005740674453158512,-0.016794197819655812,-0.0071838835562938585,-0.01743600305635183,0.02094857046067855,-0.0022594726514632325
8,Final Dynamic - Static GRL,0.001774931136362401,0.003647664680491325,-0.008048271553682734,-0.0044547738987837145,-0.009423270737219769,0.010806845440926582,-0.0004454820975063993
8,Final Dynamic - Standard Dynamic GRL,0.004380140865391513,0.007038531318176666,-0.014172026677536143,-0.004530531302869843,-0.013620892527995351,0.019951397780437863,-0.001810068031708554
9,Static GRL - Baseline,0.0011586908057705791,0.0025613738614695958,-0.02818025221749272,-0.006932963595823044,-0.02593705087381818,0.01804639080550513,-0.0006038217238482704
9,Standard Dynamic GRL - Baseline,-0.0019738443801833316,-0.0008526558110852345,-0.010176644450312688,-0.004843808021647085,-0.011296792451487056,-0.001508077578514344,0.001748994774193189
9,Standard Dynamic GRL - Static GRL,-0.003132535185953911,-0.0034140296725548303,0.018003607767180033,0.002089155574175959,0.014640258422331125,-0.019554468384019474,0.0023528164980414594
9,Final Dynamic - Baseline,0.0019663885360516886,0.005592104336327619,-0.024733730212209287,-0.010133194500928113,-0.02303288809972106,0.017765823104736123,0.00026786496935470895
9,Final Dynamic - Static GRL,0.0008076977302811095,0.0030307304748580233,0.003446522005283434,-0.003200230905105069,0.0029041627740971215,-0.0002805677007690077,0.0008716866932029794
9,Final Dynamic - Standard Dynamic GRL,0.00394023291623502,0.0064447601474128535,-0.014557085761896599,-0.005289386479281028,-0.011736095648234003,0.019273900683250467,-0.00148112980483848
10,Static GRL - Baseline,0.0013838780086052882,0.0007379001350109604,-0.010406084630014245,-0.005271365278807394,-0.009669110886888127,0.011656826875648063,-0.00012299210704204075
10,Standard Dynamic GRL - Baseline,-0.0006292181809897102,0.0004523441112578297,-0.004312214727739849,-0.0038109886741157853,-0.004508609436901484,-0.0004452391365100672,0.002115867450346722
10,Standard Dynamic GRL - Static GRL,-0.0020130961895949984,-0.0002855560237531307,0.006093869902274396,0.0014603766046916086,0.005160501449986643,-0.01210206601215813,0.002238859557388763
10,Final Dynamic - Baseline,0.002365112988060969,0.004429342359331401,-0.018502106110929346,-0.00955892955670632,-0.019137051139078237,0.0165467177182389,0.0008265116844527534
10,Final Dynamic - Static GRL,0.0009812349794556807,0.0036914422243204403,-0.008096021480915101,-0.004287564277898927,-0.00946794025219011,0.004889890842590838,0.0009495037914947942
10,Final Dynamic - Standard Dynamic GRL,0.002994331169050679,0.003976998248073571,-0.014189891383189497,-0.005747940882590535,-0.014628441702176753,0.01699195685474897,-0.0012893557658939687
11,Static GRL - Baseline,0.0005806108646643215,-0.002130885923834702,0.004023847448830095,-0.002191557492365685,0.0031009122576617365,0.0030660331075824665,-0.000472692549847829
11,Standard Dynamic GRL - Baseline,-0.0022654530684325103,-0.004072288860980322,-0.0017895961941463354,-0.002830637510883487,-0.0031839990459907735,-0.007040632448567508,0.002462108111320995
11,Standard Dynamic GRL - Static GRL,-0.002846063933096832,-0.0019414029371456198,-0.0058134436429764305,-0.0006390800185178021,-0.00628491130365251,-0.010106665556149974,0.002934800661168824
11,Final Dynamic - Baseline,0.0024957705854514733,0.003569913364638355,-0.0010142532092392575,-0.007539656745466366,-0.0024700301640151745,0.011589242197517446,-0.0028094863663193723
11,Final Dynamic - Static GRL,0.0019151597207871518,0.005700799288473057,-0.005038100658069353,-0.005348099253100681,-0.005570942421676911,0.00852320908993498,-0.0023367938164715434
11,Final Dynamic - Standard Dynamic GRL,0.004761223653883984,0.007642202225618677,0.0007753429849070778,-0.004709019234582879,0.000713968881975599,0.018629874646084954,-0.0052715944776403675
12,Static GRL - Baseline,0.0013227778417397307,-0.001346348258105201,-0.00840843812421492,-0.0034164680292521864,-0.008192301969422187,0.005406813418626255,-0.0020745615078766946
12,Standard Dynamic GRL - Baseline,6.342537384240732e-05,-0.0015888259469677979,-0.0026797990432993607,-0.004541632326648667,-0.0032247254608282344,-0.0016582885780762613,-0.0009443944673015875
12,Standard Dynamic GRL - Static GRL,-0.0012593524678973234,-0.0002424776888625968,0.00572863908091556,-0.0011251642973964804,0.004967576508593953,-0.007065101996702516,0.0011301670405751071
12,Final Dynamic - Baseline,0.0015967211576344287,0.0034891510515632773,-0.010683261774019542,-0.006732780041683042,-0.012474883118493374,0.014210408405475827,-0.0013515896057112523
12,Final Dynamic - Static GRL,0.000273943315894698,0.004835499309668478,-0.002274823649804622,-0.003316312012430856,-0.0042825811490711865,0.008803594986849572,0.0007229719021654424
12,Final Dynamic - Standard Dynamic GRL,0.0015332957837920214,0.005077976998531075,-0.008003462730720182,-0.0021911477150343755,-0.00925015765766514,0.01586869698355209,-0.00040719513840966476
13,Static GRL - Baseline,0.0009833056732080347,0.001747691900038817,-0.0051552378894541145,-0.006913118519870788,-0.005789645550289352,0.001837664991861998,-0.0032373594618018108
13,Standard Dynamic GRL - Baseline,-0.0005441079364782997,-0.0003970802722981226,-0.009487122332338893,-0.005534074740865057,-0.009938033136241073,0.0012727269500207306,-0.002069337032404049
13,Standard Dynamic GRL - Static GRL,-0.0015274136096863344,-0.0021447721723369395,-0.004331884442884779,0.0013790437790057314,-0.004148387585951721,-0.0005649380418412675,0.0011680224293977616
13,Final Dynamic - Baseline,0.0022085929862079023,0.004519356290871246,-0.01842730980312532,-0.010651248615846069,-0.019289223759473936,0.013748157792460025,-7.390031100451555e-06
13,Final Dynamic - Static GRL,0.0012252873129998676,0.002771664390832429,-0.013272071913671205,-0.0037381300959752808,-0.013499578209184585,0.011910492800598027,0.003229969430701359
13,Final Dynamic - Standard Dynamic GRL,0.002752700922686202,0.0049164365631693685,-0.008940187470786426,-0.005117173874981012,-0.009351190623232863,0.012475430842439295,0.0020619470013035976
14,Static GRL - Baseline,0.0008461334817647659,-0.0025192582223249604,-0.008672139129072984,-0.002924369384019314,-0.007197498563853398,0.011153071886620958,0.0012223785282437123
14,Standard Dynamic GRL - Baseline,-0.0007784706114799533,-0.0020650303689058735,0.008835005448751633,-0.0031291160263690644,0.009395210560108565,-0.011007768598375822,0.0032011872370985017
