comparison,metric,point_difference_candidate_minus_reference,ci_level,ci_lower,ci_upper,zero_in_ci,n_bootstrap,resampling_unit
Static GRL - Baseline,macro_AUROC,0.0006835413398859069,0.95,-0.0011682570870999026,0.0024755443406407978,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,macro_AUPRC,-0.0004576218980370528,0.95,-0.004196373915782035,0.003311177772676356,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,mean_FNR_gap,-0.012642888704011396,0.95,-0.024096399346525004,0.004596850613143367,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,mean_FPR_gap,-0.004277281390212334,0.95,-0.007289656785632318,-0.000793334504487808,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,mean_Equalized_Odds_gap,-0.011979272329715573,0.95,-0.023247329034678223,0.004191299048544381,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,mean_Worst_group_Recall,0.008948701947199211,0.95,-0.002263937863143971,0.017537452499044915,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Static GRL - Baseline,mean_AUROC_gap,-0.0018368339616104661,0.95,-0.0050320890067102626,0.0028755397140972044,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,macro_AUROC,-0.0014739282760047878,0.95,-0.0031889911776284583,0.00017980331435173323,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,macro_AUPRC,-0.0021299030387551543,0.95,-0.005566781472640753,0.0013122631053596205,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,mean_FNR_gap,-0.003863420803182527,0.95,-0.014444775784840326,0.00898398232685894,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,mean_FPR_gap,-0.0036142076335108336,0.95,-0.005675389926698661,-0.0008790982657454331,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,mean_Equalized_Odds_gap,-0.003966950051438878,0.95,-0.014041358582387958,0.008266221016747255,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,mean_Worst_group_Recall,-0.004184977976897042,0.95,-0.0134912440886296,0.0040134995345392785,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Baseline,mean_AUROC_gap,-0.0010063754684919678,0.95,-0.0038808785455707743,0.0034908870160653468,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,macro_AUROC,-0.0021574696158906947,0.95,-0.0037226148836035423,-0.0006254150041926005,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,macro_AUPRC,-0.0016722811407181015,0.95,-0.0048448411805766135,0.0013331148693205826,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,mean_FNR_gap,0.008779467900828869,0.95,-0.005409899784069873,0.019814478470103206,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,mean_FPR_gap,0.0006630737567015002,0.95,-0.0025705423847552263,0.0037896345142134132,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,mean_Equalized_Odds_gap,0.008012322278276696,0.95,-0.005354503741578648,0.018728200580575106,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,mean_Worst_group_Recall,-0.013133679924096253,0.95,-0.021544532204068427,-0.0031853458935483365,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Standard Dynamic GRL - Static GRL,mean_AUROC_gap,0.0008304584931184984,0.95,-0.002444801468363143,0.004228085710040167,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,macro_AUROC,0.00220220262818549,0.95,0.0012082337482601734,0.0032237978003180484,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,macro_AUPRC,0.004245572411030518,0.95,0.0023111551371950007,0.006154683713382306,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,mean_FNR_gap,-0.020351634293196197,0.95,-0.028263283889726643,-0.0003352344275939078,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,mean_FPR_gap,-0.0080329378987062,0.95,-0.011328471506023993,-0.001279419332223095,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,mean_Equalized_Odds_gap,-0.019208441496496007,0.95,-0.027663230133812586,-0.001308871683058649,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,mean_Worst_group_Recall,0.019334354487987426,0.95,0.008006673424884137,0.0250735599744035,False,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
Final Dynamic - Baseline,mean_AUROC_gap,-0.001545683929762568,0.95,-0.003268424655583773,0.001489360225029873,True,10000,"Paired Patient ID cluster bootstrap, stratified by sex"
