model,metric,point_estimate_mean_across_seeds,ci_level,ci_lower,ci_upper,n_bootstrap,resampling_unit,threshold_policy
Baseline,macro_AUROC,0.8091363125541612,0.95,0.8035595905975386,0.8144778681641195,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,macro_AUPRC,0.30715931633393173,0.95,0.2959532067829545,0.3192914363291075,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,mean_FNR_gap,0.04914639546580346,0.95,0.0362100997573287,0.0879176694677354,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,mean_FPR_gap,0.018262314509763,0.95,0.01342819448049816,0.029326101974336848,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,mean_Equalized_Odds_gap,0.049359855638926774,0.95,0.038622689802659226,0.08866082843941374,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,mean_Worst_group_Recall,0.4428947083818844,0.95,0.4140714888497025,0.4578287210411722,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,mean_AUROC_gap,0.014210569760679933,0.95,0.01126875796873177,0.027730437799069745,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,sex_head_AUROC,,0.95,,,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Baseline,sex_head_accuracy,,0.95,,,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,macro_AUROC,0.8098198538940471,0.95,0.8042455127452613,0.8152057230987401,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,macro_AUPRC,0.3067016944358947,0.95,0.2953614627645638,0.3190381844304956,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,mean_FNR_gap,0.036503506761792065,0.95,0.03013659045912806,0.07316265789828205,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,mean_FPR_gap,0.013985033119550667,0.95,0.009961693031478348,0.024375094891725315,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,mean_Equalized_Odds_gap,0.0373805833092112,0.95,0.03241033226567666,0.07414946463944541,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
Static GRL,mean_Worst_group_Recall,0.4518434103290836,0.95,0.4249557072141965,0.4630504651827839,10000,"Patient ID cluster, stratified by sex",Frozen seed-specific thresholds selected on complete validation set
