bootstrap_iteration,model,n_images_in_resample,n_seeds_aggregated,macro_AUROC,macro_AUPRC,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap,sex_head_AUROC,sex_head_accuracy
0,Baseline,22309,3,0.8084318931647139,0.31198821739958676,0.03798546463933067,0.015786626540080253,0.039648084043489594,0.4486206949968303,0.020833331430336364,,
0,Static GRL,22309,3,0.8098970329778735,0.3119680807210243,0.028651697385596035,0.01151115088488229,0.03143428547774149,0.4551786893520311,0.017763291754284847,0.5559362042782932,0.5748800932359138
0,Standard Dynamic GRL,22309,3,0.8063274116717886,0.30857997101526763,0.04987009085042049,0.010627355046187904,0.050245032464413586,0.4344242765924022,0.01896426352812268,0.5544524578586602,0.5640772782285176
0,Final Dynamic,22309,3,0.8112105270627724,0.3160449459314598,0.030824011060727453,0.010259220158824526,0.03220980733288508,0.4593105411861332,0.019563744347659315,,
1,Baseline,22296,3,0.8132913837154208,0.3101845096590249,0.03833339069486497,0.014454318020992321,0.04358167187580094,0.4585282332720761,0.02985030028871727,,
1,Static GRL,22296,3,0.8143341215543881,0.3106816306927192,0.04215571152310801,0.011562861039577285,0.04361357015172263,0.46058686749947236,0.02709202058486462,0.5512770978773344,0.5870858748953475
1,Standard Dynamic GRL,22296,3,0.8113638681211626,0.3093889048211311,0.0413769936243755,0.010001088541321534,0.04374345688512233,0.45091501165176756,0.026985549287693925,0.5520786290289165,0.5750508312402823
1,Final Dynamic,22296,3,0.8157112250917377,0.3148302599152775,0.040441968050725176,0.010057109311076581,0.04088841051333071,0.4679155365868997,0.029875406558813457,,
2,Baseline,23357,3,0.8046463965014153,0.3067441945620408,0.06525020977638851,0.02026020742919594,0.06612156962035566,0.4374660517986906,0.017052917703933832,,
2,Static GRL,23357,3,0.8045418603030495,0.3078618126710026,0.06317073625487248,0.021839402009880715,0.06490864100668449,0.44055678046962116,0.01679375098175033,0.5594420530836163,0.5845214139943772
2,Standard Dynamic GRL,23357,3,0.8024127212863531,0.30425230324519564,0.06317725969276998,0.018398001110934967,0.06451842759975913,0.4316087783974301,0.015217163859984258,0.5597601108200123,0.5710208217379514
