model,label,FNR_gap_mean,FPR_gap_mean,Equalized_Odds_gap_mean,AUROC_gap_mean,AUPRC_gap_mean,Worst_group_Recall_mean,Worst_group_AUROC_mean,FNR_gap_std,FPR_gap_std,Equalized_Odds_gap_std,AUROC_gap_std,AUPRC_gap_std,Worst_group_Recall_std,Worst_group_AUROC_std,FNR_gap_n_seeds,FPR_gap_n_seeds,Equalized_Odds_gap_n_seeds,AUROC_gap_n_seeds,AUPRC_gap_n_seeds,Worst_group_Recall_n_seeds,Worst_group_AUROC_n_seeds
Baseline,Atelectasis,0.058181596253256834,0.030185069061653066,0.058181596253256834,0.0048487931636272,0.020958972654226266,0.4838836477987421,0.8064836569210851,0.01213516927225453,0.006644345624806056,0.012135169272254574,0.0025470903267717443,0.008825105354110097,0.012989553177561584,0.005285049390777139,3,3,3,3,3,3,3
Baseline,Consolidation,0.08562812290252812,0.021135393004387337,0.0856281229025281,0.026707417922806564,0.026603428191942998,0.3197463768115942,0.7911732858393883,0.03439662866489347,0.016880255981101842,0.034396628664893424,0.006658674318404874,0.01585086396109721,0.05368710693020811,0.0016098069362187805,3,3,3,3,3,3,3
Baseline,Effusion,0.018662163322551967,0.004579037794379567,0.018662163322551932,0.007371879146939799,0.02719663530784047,0.6341843890431348,0.8679262115479945,0.01600935986425048,0.0030128373692883672,0.016009359864250478,0.0012157383932142787,0.007042582816984563,0.046376415697058526,0.0023079687815668235,3,3,3,3,3,3,3
Baseline,Infiltration,0.027788029847465565,0.022511248259659333,0.029040903337538365,0.0018097693728180077,0.013377859523174067,0.5341246290801187,0.7056943028614197,0.024067645242350055,0.012002809759285343,0.022884826498402327,0.001547615027298547,0.004354030020282979,0.05614193135326904,0.003173609926829695,3,3,3,3,3,3,3
Baseline,Mass,0.04901786867183886,0.016644316269953132,0.04925921639362916,0.014138014961362966,0.014981448137007034,0.38691883372734437,0.8271218018688203,0.03847298002203946,0.008920496139735402,0.03806656848939347,0.0012096899147556147,0.012265719789333695,0.07477079580453587,0.004513203619526483,3,3,3,3,3,3,3
Baseline,Nodule,0.033143939393939365,0.009469913029505866,0.03314393939393933,0.011211509984816766,0.02270333203717463,0.3333333333333333,0.7610034624504999,0.020919839721483348,0.0072861315397395356,0.02091983972148338,0.008840688766388214,0.006055096122399148,0.03325910427199312,0.005329934544301908,3,3,3,3,3,3,3
Baseline,Pneumothorax,0.0716030478690437,0.023311224148802667,0.0716030478690437,0.03338660377238823,0.07059055438418914,0.4080717488789238,0.8506962108903223,0.04307614085864367,0.005568197556126243,0.04307614085864371,0.012151265980814504,0.03204350468725942,0.02718465393045324,0.004848172025564983,3,3,3,3,3,3,3
Final Dynamic,Atelectasis,0.02645593550566683,0.015500197096005535,0.0284356566299465,0.0035199404346507334,0.023021159785597402,0.5128204238225481,0.8124022641466823,0.018805345002531785,0.0050526022003786406,0.0156839645767919,0.00048593221093303933,0.005360343602417935,0.040473456406198025,0.001388650407669262,3,3,3,3,3,3,3
Final Dynamic,Consolidation,0.044584483058642176,0.0065717045772069336,0.044584483058642176,0.03222545262627,0.027796117285107464,0.3550724637681159,0.7893987716267071,0.016762423037510746,0.002191661838649645,0.016762423037510746,0.007266407832635009,0.010337747488695303,0.037093469618556654,0.0043496924304104075,3,3,3,3,3,3,3
Final Dynamic,Effusion,0.0148839339382316,0.0026398136329844686,0.014883933938231633,0.005627971539854033,0.033001117008669,0.592332865825152,0.8710955646151793,0.0049232097838606435,0.002974842840541851,0.004923209783860702,0.0008616790023271189,0.006613806917820696,0.043840578152199765,0.0005177808182153375,3,3,3,3,3,3,3
