model_variant,seed,model,label,selected_threshold,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_FNR,male_FNR,female_FPR,male_FPR,FNR_gap,FPR_gap,Equalized_Odds_gap,AUROC_gap,AUPRC_gap,Worst_group_Recall,Worst_group_AUROC
r50_baseline,42,Baseline,Infiltration,0.5149999999999999,0.7048965523355974,0.3440383207465345,0.7030369795995951,0.7059707433080187,0.4112759643916914,0.4021558872305141,0.2910523640061007,0.3026430438571014,0.0091200771611772,0.0115906798510007,0.0115906798510007,0.0029337637084235,0.0183627629910536,0.5887240356083087,0.7030369795995951
r50_baseline,42,Baseline,Effusion,0.7549999999999999,0.8740030139225812,0.4916710584729635,0.8701555648833597,0.8771016951148389,0.3984028393966282,0.4186535764375876,0.0905530500830762,0.0857269111798497,0.0202507370409594,0.0048261389032264,0.0202507370409593,0.0069461302314792,0.0280687285935976,0.5813464235624124,0.8701555648833597
r50_baseline,42,Baseline,Atelectasis,0.7599999999999999,0.8068523242427386,0.3393829066726535,0.808642831597542,0.8043633952580459,0.5224056603773585,0.4635761589403973,0.1018954623779437,0.1346863468634686,0.0588295014369611,0.0327908844855249,0.058829501436961,0.0042794363394961,0.026997405209189,0.4775943396226415,0.8043633952580459
r50_baseline,42,Baseline,Nodule,0.695,0.764609140781146,0.2202575222383864,0.7629189139219982,0.766335050261693,0.6284722222222222,0.6079545454545454,0.0726300545839367,0.0873971919913599,0.0205176767676767,0.0147671374074232,0.0205176767676767,0.0034161363396948,0.0293145826436645,0.3715277777777778,0.7629189139219982
r50_baseline,42,Baseline,Mass,0.71,0.8360705480476875,0.2930462217969033,0.8438843704929324,0.830810148750916,0.5295508274231678,0.5237366003062787,0.0550930996714129,0.061631369953673,0.0058142271168891,0.0065382702822601,0.0065382702822601,0.0130742217420164,0.0273463919575353,0.4704491725768321,0.830810148750916
r50_baseline,42,Baseline,Pneumothorax,0.7949999999999999,0.8676548931126462,0.3151438671129385,0.8536418503414664,0.8745136836039294,0.4808362369337979,0.5964125560538116,0.0628132308720347,0.0331028873525823,0.1155763191200137,0.0297103435194523,0.1155763191200137,0.020871833262463,0.0877896759063797,0.4035874439461883,0.8536418503414664
r50_baseline,42,Baseline,Consolidation,0.7599999999999999,0.8102950491725629,0.1488205498830933,0.790074791129204,0.8225666235052089,0.6902173913043478,0.6346483704974271,0.0678279804028307,0.0697483138674124,0.0555690208069207,0.0019203334645817,0.0555690208069207,0.0324918323760049,0.0354655308849872,0.3097826086956521,0.790074791129204
r50_baseline,123,Baseline,Infiltration,0.4699999999999999,0.7062604257053853,0.3476226949989024,0.7048376098805362,0.7072885403556329,0.4629080118694362,0.4436152570480928,0.242755465175394,0.2633362377771323,0.0192927548213433,0.0205807726017383,0.0205807726017383,0.0024509304750967,0.0114516502103468,0.5370919881305638,0.7048376098805362
r50_baseline,123,Baseline,Effusion,0.6449999999999999,0.8700399114875276,0.4901959950140691,0.8655469370484858,0.8742901694990886,0.3318544809228039,0.2980364656381487,0.1234274863517683,0.1308882015024304,0.0338180152846552,0.007460715150662,0.0338180152846552,0.0087432324506027,0.0197586201767588,0.6681455190771961,0.8655469370484858
r50_baseline,123,Baseline,Atelectasis,0.565,0.8065228219185825,0.3344560006062811,0.8102203515654632,0.8025879714804717,0.5011792452830188,0.4311994113318617,0.119586444572085,0.1547179757511861,0.0699798339511571,0.035131531179101,0.0699798339511572,0.0076323800849915,0.0108309249875138,0.4988207547169811,0.8025879714804717
r50_baseline,123,Baseline,Nodule,0.73,0.7655717430938898,0.2284599694865772,0.7549805134727017,0.7757977651294872,0.6822916666666666,0.625,0.0505736883145817,0.0630555786325496,0.0572916666666666,0.0124818903179679,0.0572916666666666,0.0208172516567854,0.0174272466061591,0.3177083333333333,0.7549805134727017
r50_baseline,123,Baseline,Mass,0.825,0.8283480069352634,0.2874149733137657,0.837543080121906,0.8220891993679833,0.6737588652482269,0.5941807044410413,0.024972617743702,0.0483951025810721,0.0795781608071856,0.02342248483737,0.0795781608071855,0.0154538807539227,0.0028174208113984,0.3262411347517731,0.8220891993679833
r50_baseline,123,Baseline,Pneumothorax,0.8499999999999999,0.864024990460601,0.2984587328136506,0.8451006277520174,0.8792501964960783,0.5871080139372822,0.6165919282511211,0.0442142777592159,0.0246441642944286,0.0294839143138389,0.0195701134647873,0.0294839143138388,0.0341495687440608,0.0336197254668921,0.3834080717488789,0.8451006277520174
r50_baseline,123,Baseline,Consolidation,0.7549999999999999,0.8026328074034671,0.1434814839464047,0.790423895292419,0.8098523810424043,0.7282608695652174,0.6500857632933105,0.0513881328252585,0.0849646323408455,0.0781751062719069,0.0335764995155869,0.0781751062719069,0.0194284857499853,0.0083034460933166,0.2717391304347826,0.790423895292419
r50_baseline,2026,Baseline,Infiltration,0.62,0.709480271305654,0.3510723641186901,0.7092529330390615,0.7092083191041276,0.5234421364985163,0.4684908789386401,0.1912811387900355,0.2266434311162745,0.0549512575598762,0.035362292326239,0.0549512575598761,4.461393493382371e-05,0.0103191653681218,0.4765578635014836,0.7092083191041276
r50_baseline,2026,Baseline,Effusion,0.7449999999999999,0.8713792496495897,0.4912456620133477,0.8680761327121381,0.8745024074708757,0.3469387755102041,0.3450210378681627,0.1129836221220033,0.1115333627927529,0.0019177376420413,0.0014502593292503,0.0019177376420413,0.0064262747587375,0.033762557153165,0.6530612244897959,0.8680761327121381
r50_baseline,2026,Baseline,Atelectasis,0.715,0.8143329349229358,0.3480101988494531,0.8151341670911318,0.8124996040247378,0.5247641509433962,0.4790286975717439,0.0991384261918437,0.1217712177121771,0.0457354533716523,0.0226327915203333,0.0457354533716523,0.002634563066394,0.025048587765976,0.4752358490566037,0.8124996040247378
r50_baseline,2026,Baseline,Nodule,0.7849999999999999,0.7686735256852575,0.2229066581410323,0.7745121019147699,0.7651109599567998,0.6892361111111112,0.6676136363636364,0.0496825220006683,0.0508432333637949,0.0216224747474748,0.0011607113631265,0.0216224747474747,0.0094011419579701,0.0213681668617003,0.3107638888888889,0.7651109599567998
r50_baseline,2026,Baseline,Mass,0.8699999999999999,0.8344762162728495,0.2889771641459532,0.8423519998757119,0.828466057487562,0.6359338061465721,0.5742725880551302,0.0323110624315443,0.0522832561217736,0.0616612180914419,0.0199721936902293,0.0616612180914419,0.0138859423881498,0.0147805316420874,0.3640661938534279,0.828466057487562
r50_baseline,2026,Baseline,Pneumothorax,0.8949999999999999,0.8755181230149294,0.3153103600260565,0.8533461545774831,0.898484563888124,0.4930313588850174,0.5627802690582959,0.0575787949660318,0.0369255795038633,0.0697489101732785,0.0206532154621684,0.0697489101732786,0.0451384093106409,0.0903622617792956,0.437219730941704,0.8533461545774831
r50_baseline,2026,Baseline,Consolidation,0.7899999999999999,0.810220014166491,0.1503729386149097,0.7930211710965421,0.8212231067389717,0.6222826086956522,0.4991423670668953,0.086336418072945,0.1142457641059384,0.1231402416287568,0.0279093460329934,0.1231402416287567,0.0282019356424295,0.0360413075975252,0.3777173913043478,0.7930211710965421
r50_static_grl,42,Static GRL,Infiltration,0.5099999999999999,0.6997753775768091,0.3401153817123076,0.7006324683690387,0.6987493912950496,0.4611275964391691,0.4465174129353234,0.251779359430605,0.2682737922354535,0.0146101835038457,0.0164944328048485,0.0164944328048485,0.001883077073989,0.0093295603067253,0.5388724035608309,0.6987493912950496
r50_static_grl,42,Static GRL,Effusion,0.735,0.8678260183040567,0.4799017433210488,0.8669289251526573,0.8687424814954146,0.3309671694764862,0.3373071528751753,0.1229527652504153,0.126646045072912,0.006339983398689,0.0036932798224966,0.006339983398689,0.0018135563427572,0.0210822891608507,0.6626928471248247,0.8669289251526573
r50_static_grl,42,Static GRL,Atelectasis,0.6449999999999999,0.8074200630068444,0.3391729284086752,0.8057917809109924,0.8079376780838133,0.3891509433962264,0.3605592347314201,0.1792073520964962,0.1875768757687577,0.0285917086648062,0.0083695236722614,0.0285917086648063,0.0021458971728209,0.0332243460793064,0.6108490566037735,0.8057917809109924
r50_static_grl,42,Static GRL,Nodule,0.7599999999999999,0.7641213335454934,0.2209437007538268,0.7550433669996164,0.7730536220705854,0.6579861111111112,0.5767045454545454,0.0622702461846942,0.0792556284788568,0.0812815656565657,0.0169853822941626,0.0812815656565656,0.0180102550709689,0.0074286639497679,0.3420138888888889,0.7550433669996164
r50_static_grl,42,Static GRL,Mass,0.8899999999999999,0.8373026023706461,0.3023211505533433,0.8423811299356032,0.8329638293149877,0.6973995271867612,0.6860643185298622,0.0216867469879518,0.0322634017207147,0.011335208656899,0.0105766547327629,0.011335208656899,0.0094173006206155,0.0084810454064123,0.3026004728132387,0.8329638293149877
r50_static_grl,42,Static GRL,Pneumothorax,0.8799999999999999,0.8736196904257614,0.3317559486126971,0.8547039491682684,0.8921605815189739,0.519163763066202,0.57847533632287,0.0485577458514311,0.0305002033346888,0.0593115732566679,0.0180575425167422,0.0593115732566678,0.0374566323507055,0.0493809628354787,0.42152466367713,0.8547039491682684
r50_static_grl,42,Static GRL,Consolidation,0.7899999999999999,0.8135646638429265,0.1527874991245812,0.8007269058720503,0.8203997565501909,0.6521739130434783,0.6123499142367067,0.0656505171475231,0.0875143938147721,0.0398239988067715,0.021863876667249,0.0398239988067715,0.0196728506781406,0.0265293839853192,0.3478260869565217,0.8007269058720503
r50_static_grl,123,Static GRL,Infiltration,0.58,0.7043739517288273,0.3446953945669927,0.6993273659295286,0.7072086842066814,0.5097922848664689,0.4597844112769486,0.2048805287239451,0.2390357246587278,0.0500078735895203,0.0341551959347827,0.0500078735895202,0.0078813182771527,0.0227702622328179,0.4902077151335312,0.6993273659295286
r50_static_grl,123,Static GRL,Effusion,0.62,0.8762029186702621,0.4926613952143069,0.8734767170782286,0.8786180701931616,0.2839396628216504,0.2980364656381487,0.1406361262758129,0.1353954927087936,0.0140968028164982,0.0052406335670193,0.0140968028164982,0.005141353114933,0.0216667837143145,0.7019635343618513,0.8734767170782286
r50_static_grl,123,Static GRL,Atelectasis,0.69,0.8082647912482379,0.3423324179907753,0.8077459007510321,0.8081587454158994,0.4870283018867924,0.4628403237674761,0.1184376794945433,0.1401335441925847,0.0241879781193163,0.0216958646980414,0.0241879781193163,0.0004128446648672,0.0233792633842743,0.5129716981132075,0.8077459007510321
r50_static_grl,123,Static GRL,Nodule,0.6749999999999999,0.7728700211763587,0.2325967551818156,0.7684750690035028,0.7773343389133505,0.6597222222222222,0.6136363636363636,0.058148601982845,0.0678740549970923,0.0460858585858585,0.0097254530142472,0.0460858585858585,0.0088592699098476,0.0106670018286201,0.3402777777777778,0.7684750690035028
r50_static_grl,123,Static GRL,Mass,0.8599999999999999,0.8308478571360994,0.2865775565972105,0.831733898844896,0.8309693944255653,0.5910165484633569,0.6278713629402757,0.0388828039430449,0.0398742554599602,0.0368548144769187,0.0009914515169153,0.0368548144769186,0.0007645044193307,0.0007598986741736,0.3721286370597244,0.8309693944255653
r50_static_grl,123,Static GRL,Pneumothorax,0.7849999999999999,0.8688469032437643,0.3036498168430289,0.8551121800655266,0.8799238452322119,0.5121951219512195,0.5695067264573991,0.0599175854772246,0.0331028873525823,0.0573116045061795,0.0268146981246422,0.0573116045061795,0.0248116651666853,0.0414428571186559,0.4304932735426009,0.8551121800655266
r50_static_grl,123,Static GRL,Consolidation,0.7849999999999999,0.8108113767258359,0.1478846058413322,0.7905286265413837,0.8231066825392481,0.720108695652174,0.692967409948542,0.0575939031028851,0.0662115479519657,0.0271412857036319,0.0086176448490806,0.0271412857036318,0.0325780559978644,0.0286665587071358,0.2798913043478261,0.7905286265413837
