model_variant,model,seed,n_labels,selected_labels,lambda_adv,best_epoch,best_val_macro_auroc,macro_AUROC,macro_AUPRC,sex_head_AUROC,sex_head_accuracy,mean_FNR_gap,mean_FPR_gap,mean_Equalized_Odds_gap,mean_Worst_group_Recall,mean_AUROC_gap,lambda_max,schedule_gamma,schedule_mode,selected_common_epoch,selection_status,selection_target_validation_EO_gap,aggregate_selected_validation_EO_gap,selected_seed_validation_EO_gap,selected_seed_val_macro_auroc,selected_seed_val_macro_auprc,test_conditional_adversary_mean_label_auroc
r50_baseline,Baseline,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.8089058259610232,0.8091973602307085,0.3074800638462104,,,0.040811079921514,0.0145919697019242,0.0412674579008274,0.4575731145414018,0.0120019077142254,,,,,,,,,,,
r50_baseline,Baseline,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,3,0.8055058993225004,0.8062001010006739,0.3042985500256644,,,0.0525170645881076,0.0217462867238876,0.0527010671281641,0.4290221331705012,0.015525104273635,,,,,,,,,,,
r50_baseline,Baseline,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.8099908523771522,0.812011476431101,0.3096993351299204,,,0.0541110418877888,0.0184486871034772,0.0541110418877888,0.4420888774337502,0.0151046972941794,,,,,,,,,,,
r50_static_grl,Static GRL,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,3,0.8065896790561322,0.8090899641532197,0.3095711932123542,0.5757121693025711,0.594734009150444,0.0344706031348922,0.0137200989300747,0.034739781606464,0.460911345660744,0.0129142241871425,,,,,,,,,,,
r50_static_grl,Static GRL,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,4,0.8075398523351798,0.8103168314184837,0.3071997060336375,0.5262148334286423,0.5717233336323675,0.0365266025425605,0.015320134529247,0.0365266025425605,0.4468477057623599,0.0114927159358115,,,,,,,,,,,
r50_static_grl,Static GRL,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,0.1,3,0.8112880485223893,0.8100527661104377,0.3033341840616924,0.5573026291557887,0.5866600879160312,0.0385133146079235,0.0129148658993303,0.0408753657786091,0.4477711795641469,0.0127142672742544,,,,,,,,,,,
r50_dynamic_grl,Standard Dynamic GRL,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.8088214855920024,0.8094040164350556,0.3089377893090065,0.548012290176148,0.5763434107831703,0.0343344486005748,0.0096414846249267,0.0343344486005747,0.4450680597849241,0.0132297480741409,0.1,10.0,,,,,,,,,
r50_dynamic_grl,Standard Dynamic GRL,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,3,0.8087316996237022,0.806298762333671,0.3027353790822928,0.5633150176437498,0.563156006100296,0.0591455637980363,0.0207663325025724,0.0594450710651692,0.4251272716037878,0.0118256413776564,0.1,10.0,,,,,,,,,
r50_dynamic_grl,Standard Dynamic GRL,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,3,0.8091856678186182,0.8072843740657426,0.3034150714942304,0.5562429796422493,0.5820400107652283,0.0423689115892517,0.0135365035012574,0.0423991970967198,0.44593385982625,0.0145571934247666,0.1,10.0,,,,,,,,,
r50_dynamic_eo_gradnorm_common_epoch_v2,Final Dynamic,42,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.809431060555138,0.8114336354206799,0.3107600750038218,,,0.0324777340861945,0.0101776259516765,0.0334307388464072,0.4783304271201078,0.0119948999982116,0.1,,dynamic,4.0,aggregate_validation_EO_constraint_met,0.072623087074547,0.0653119436289864,0.0806804687951497,0.809431060555138,0.3006808388281862,0.5115495881506512
r50_dynamic_eo_gradnorm_common_epoch_v2,Final Dynamic,123,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.8106246731766819,0.8096296479211222,0.310407866170276,,,0.0264550294666633,0.012228729792057,0.0287235317055155,0.4600837587657859,0.0130047310022933,0.1,,dynamic,4.0,aggregate_validation_EO_constraint_met,0.072623087074547,0.0653119436289864,0.0628067099151201,0.8106246731766819,0.2979917746634704,0.5129993440836118
r50_dynamic_eo_gradnorm_common_epoch_v2,Final Dynamic,2026,7,Infiltration|Effusion|Atelectasis|Nodule|Mass|Pneumothorax|Consolidation,,4,0.8101622482005134,0.8129522622052381,0.3130467250607889,,,0.027451519964964,0.0082817740894369,0.0282999718753696,0.4482730027237218,0.0129950264922472,0.1,,dynamic,4.0,aggregate_validation_EO_constraint_met,0.072623087074547,0.0653119436289864,0.0524486521766894,0.8101622482005134,0.3027954908145581,0.502938471216989
