model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,model
r50_baseline,42,Infiltration,22294,4097,18197,0.5149999999999999,0.7048965523355974,0.3440383207465345,0.5940932389553332,0.5940932389553332,0.4059067610446668,0.7023685222838929,0.7023685222838929,0.297631477716107,2434,5416,12781,1663,Baseline
r50_baseline,42,Effusion,22294,2553,19741,0.7549999999999999,0.8740030139225812,0.4916710584729635,0.5902859381120251,0.5902859381120251,0.4097140618879749,0.9122131604275366,0.9122131604275366,0.0877868395724634,1507,1733,18008,1046,Baseline
r50_baseline,42,Atelectasis,22294,2207,20087,0.7599999999999999,0.8068523242427386,0.3393829066726535,0.513819664703217,0.513819664703217,0.4861803352967829,0.8795240702942202,0.8795240702942202,0.1204759297057798,1134,2420,17667,1073,Baseline
r50_baseline,42,Nodule,22294,1280,21014,0.695,0.764609140781146,0.2202575222383864,0.3828125,0.3828125,0.6171875,0.9189112020557724,0.9189112020557724,0.0810887979442276,490,1704,19310,790,Baseline
r50_baseline,42,Mass,22294,1076,21218,0.71,0.8360705480476875,0.2930462217969033,0.4739776951672863,0.4739776951672863,0.5260223048327137,0.9411820152700536,0.9411820152700536,0.0588179847299462,510,1248,19970,566,Baseline
r50_baseline,42,Pneumothorax,22294,1020,21274,0.7949999999999999,0.8676548931126462,0.3151438671129385,0.4686274509803921,0.4686274509803921,0.5313725490196078,0.954357431606656,0.954357431606656,0.0456425683933439,478,971,20303,542,Baseline
r50_baseline,42,Consolidation,22294,951,21343,0.7599999999999999,0.8102950491725629,0.1488205498830933,0.3438485804416404,0.3438485804416404,0.6561514195583596,0.931078105233566,0.931078105233566,0.0689218947664339,327,1471,19872,624,Baseline
r50_baseline,123,Infiltration,22294,4097,18197,0.4699999999999999,0.7062604257053853,0.3476226949989024,0.5484500854283623,0.5484500854283623,0.4515499145716378,0.7455624553497829,0.7455624553497829,0.254437544650217,2247,4630,13567,1850,Baseline
r50_baseline,123,Effusion,22294,2553,19741,0.6449999999999999,0.8700399114875276,0.4901959950140691,0.6870348609479044,0.6870348609479044,0.3129651390520955,0.8722962362595613,0.8722962362595613,0.1277037637404386,1754,2521,17220,799,Baseline
r50_baseline,123,Atelectasis,22294,2207,20087,0.565,0.8065228219185825,0.3344560006062811,0.5419120978704123,0.5419120978704123,0.4580879021295876,0.8605067954398367,0.8605067954398367,0.1394932045601633,1196,2802,17285,1011,Baseline
r50_baseline,123,Nodule,22294,1280,21014,0.73,0.7655717430938898,0.2284599694865772,0.34921875,0.34921875,0.65078125,0.9422765775197488,0.9422765775197488,0.0577234224802512,447,1213,19801,833,Baseline
r50_baseline,123,Mass,22294,1076,21218,0.825,0.8283480069352634,0.2874149733137657,0.3745353159851301,0.3745353159851301,0.6254646840148699,0.9616834762937128,0.9616834762937128,0.0383165237062871,403,813,20405,673,Baseline
r50_baseline,123,Pneumothorax,22294,1020,21274,0.8499999999999999,0.864024990460601,0.2984587328136506,0.4,0.4,0.6,0.9670959857102568,0.9670959857102568,0.0329040142897433,408,700,20574,612,Baseline
r50_baseline,123,Consolidation,22294,951,21343,0.7549999999999999,0.8026328074034671,0.1434814839464047,0.3196635120925342,0.3196635120925342,0.6803364879074658,0.9294850770744506,0.9294850770744506,0.0705149229255493,304,1505,19838,647,Baseline
r50_baseline,2026,Infiltration,22294,4097,18197,0.62,0.709480271305654,0.3510723641186901,0.5089089577739809,0.5089089577739809,0.491091042226019,0.7886464801890422,0.7886464801890422,0.2113535198109578,2085,3846,14351,2012,Baseline
r50_baseline,2026,Effusion,22294,2553,19741,0.7449999999999999,0.8713792496495897,0.4912456620133477,0.654132393262828,0.654132393262828,0.3458676067371719,0.8878476267666279,0.8878476267666279,0.1121523732333721,1670,2214,17527,883,Baseline
r50_baseline,2026,Atelectasis,22294,2207,20087,0.715,0.8143329349229358,0.3480101988494531,0.5033982782057091,0.5033982782057091,0.4966017217942909,0.8880370388808683,0.8880370388808683,0.1119629611191317,1111,2249,17838,1096,Baseline
r50_baseline,2026,Nodule,22294,1280,21014,0.7849999999999999,0.7686735256852575,0.2229066581410323,0.32265625,0.32265625,0.67734375,0.9496526125440182,0.9496526125440182,0.0503473874559817,413,1058,19956,867,Baseline
r50_baseline,2026,Mass,22294,1076,21218,0.8699999999999999,0.8344762162728495,0.2889771641459532,0.4014869888475836,0.4014869888475836,0.5985130111524164,0.9563106796116504,0.9563106796116504,0.0436893203883495,432,927,20291,644,Baseline
r50_baseline,2026,Pneumothorax,22294,1020,21274,0.8949999999999999,0.8755181230149294,0.3153103600260565,0.4764705882352941,0.4764705882352941,0.5235294117647059,0.954357431606656,0.954357431606656,0.0456425683933439,486,971,20303,534,Baseline
r50_baseline,2026,Consolidation,22294,951,21343,0.7899999999999999,0.810220014166491,0.1503729386149097,0.4532071503680336,0.4532071503680336,0.5467928496319664,0.8977650752002999,0.8977650752002999,0.1022349247997001,431,2182,19161,520,Baseline
r50_static_grl,42,Infiltration,22294,4097,18197,0.5099999999999999,0.6997753775768091,0.3401153817123076,0.5474737612887479,0.5474737612887479,0.4525262387112521,0.7388580535253064,0.7388580535253064,0.2611419464746936,2243,4752,13445,1854,Static GRL
r50_static_grl,42,Effusion,22294,2553,19741,0.735,0.8678260183040567,0.4799017433210488,0.6654915785350568,0.6654915785350568,0.3345084214649432,0.8749303480066866,0.8749303480066866,0.1250696519933134,1699,2469,17272,854,Static GRL
r50_static_grl,42,Atelectasis,22294,2207,20087,0.6449999999999999,0.8074200630068444,0.3391729284086752,0.6284549161758043,0.6284549161758043,0.3715450838241957,0.8160501817095634,0.8160501817095634,0.1839498182904366,1387,3695,16392,820,Static GRL
r50_static_grl,42,Nodule,22294,1280,21014,0.7599999999999999,0.7641213335454934,0.2209437007538268,0.38671875,0.38671875,0.61328125,0.928000380698582,0.928000380698582,0.0719996193014181,495,1513,19501,785,Static GRL
r50_static_grl,42,Mass,22294,1076,21218,0.8899999999999999,0.8373026023706461,0.3023211505533433,0.3094795539033457,0.3094795539033457,0.6905204460966543,0.9722876802714676,0.9722876802714676,0.0277123197285323,333,588,20630,743,Static GRL
r50_static_grl,42,Pneumothorax,22294,1020,21274,0.8799999999999999,0.8736196904257614,0.3317559486126971,0.4549019607843137,0.4549019607843137,0.5450980392156862,0.9618783491585974,0.9618783491585974,0.0381216508414026,464,811,20463,556,Static GRL
r50_static_grl,42,Consolidation,22294,951,21343,0.7899999999999999,0.8135646638429265,0.1527874991245812,0.3722397476340694,0.3722397476340694,0.6277602523659306,0.9218947664339596,0.9218947664339596,0.0781052335660403,354,1667,19676,597,Static GRL
