model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group,model
r50_baseline,42,Infiltration,9553,1685,7868,0.5149999999999999,0.7030369795995951,0.3337722857273384,0.5887240356083087,0.5887240356083087,0.4112759643916914,0.7089476359938993,0.7089476359938993,0.2910523640061007,992,2290,5578,693,Female,Baseline
r50_baseline,42,Infiltration,12741,2412,10329,0.5149999999999999,0.7059707433080187,0.3521350487183921,0.5978441127694859,0.5978441127694859,0.4021558872305141,0.6973569561428986,0.6973569561428986,0.3026430438571014,1442,3126,7203,970,Male,Baseline
r50_baseline,42,Effusion,9553,1127,8426,0.7549999999999999,0.8701555648833597,0.508163444923661,0.6015971606033718,0.6015971606033718,0.3984028393966282,0.9094469499169238,0.9094469499169238,0.0905530500830762,678,763,7663,449,Female,Baseline
r50_baseline,42,Effusion,12741,1426,11315,0.7549999999999999,0.8771016951148389,0.4800947163300633,0.5813464235624124,0.5813464235624124,0.4186535764375876,0.9142730888201502,0.9142730888201502,0.0857269111798497,829,970,10345,597,Male,Baseline
r50_baseline,42,Atelectasis,9553,848,8705,0.7599999999999999,0.808642831597542,0.3236574197096097,0.4775943396226415,0.4775943396226415,0.5224056603773585,0.8981045376220563,0.8981045376220563,0.1018954623779437,405,887,7818,443,Female,Baseline
r50_baseline,42,Atelectasis,12741,1359,11382,0.7599999999999999,0.8043633952580459,0.3506548249187988,0.5364238410596026,0.5364238410596026,0.4635761589403973,0.8653136531365314,0.8653136531365314,0.1346863468634686,729,1533,9849,630,Male,Baseline
r50_baseline,42,Nodule,9553,576,8977,0.695,0.7629189139219982,0.2381614806002009,0.3715277777777778,0.3715277777777778,0.6284722222222222,0.9273699454160632,0.9273699454160632,0.0726300545839367,214,652,8325,362,Female,Baseline
r50_baseline,42,Nodule,12741,704,12037,0.695,0.766335050261693,0.2088468979565364,0.3920454545454545,0.3920454545454545,0.6079545454545454,0.91260280800864,0.91260280800864,0.0873971919913599,276,1052,10985,428,Male,Baseline
r50_baseline,42,Mass,9553,423,9130,0.71,0.8438843704929324,0.2761266672901237,0.4704491725768321,0.4704491725768321,0.5295508274231678,0.944906900328587,0.944906900328587,0.0550930996714129,199,503,8627,224,Female,Baseline
r50_baseline,42,Mass,12741,653,12088,0.71,0.830810148750916,0.303473059247659,0.4762633996937213,0.4762633996937213,0.5237366003062787,0.938368630046327,0.938368630046327,0.061631369953673,311,745,11343,342,Male,Baseline
