label,group,n,positive,threshold,AUROC,AUPRC,Recall,Specificity,FNR,TP,FP,TN,FN
Infiltration,Female,9553,1685,0.61,0.7046274659477824,0.3441861281922692,0.49554896142433236,0.8005846466700559,0.5044510385756676,835,1569,6299,850
Infiltration,Male,12741,2412,0.61,0.7026859642793551,0.34786220701394677,0.5045605306799337,0.7823603446606642,0.49543946932006633,1217,2248,8081,1195
Effusion,Female,9553,1127,0.6399999999999999,0.8645841209372013,0.49470269817754553,0.6628216503992902,0.8671967718965108,0.33717834960070986,747,1119,7307,380
Effusion,Male,12741,1426,0.6399999999999999,0.8722130944847877,0.480753343928085,0.697054698457223,0.8661953159522757,0.302945301542777,994,1514,9801,432
Atelectasis,Female,9553,848,0.605,0.7790358501403445,0.2775517684638008,0.5141509433962265,0.843997702469845,0.4858490566037736,436,1358,7347,412
Atelectasis,Male,12741,1359,0.605,0.7809683363311086,0.3144284327881268,0.551140544518028,0.8314004568617115,0.44885945548197204,749,1919,9463,610
Nodule,Female,9553,576,0.7599999999999999,0.7484170580990928,0.219097041249641,0.3003472222222222,0.9467528127436783,0.6996527777777778,173,478,8499,403
Nodule,Male,12741,704,0.7599999999999999,0.7517191901674383,0.20387223549859762,0.36079545454545453,0.9315444047520146,0.6392045454545454,254,824,11213,450
Mass,Female,9553,423,0.8899999999999999,0.8203462463652159,0.2610048531567717,0.3333333333333333,0.9725082146768894,0.6666666666666666,141,251,8879,282
Mass,Male,12741,653,0.8899999999999999,0.8185628008184999,0.28041725813971635,0.33843797856049007,0.9616148246194574,0.6615620214395099,221,464,11624,432
Pneumothorax,Female,9553,574,0.9249999999999999,0.8378465742559196,0.31410810214936113,0.35714285714285715,0.9675910457734714,0.6428571428571429,205,291,8688,369
Pneumothorax,Male,12741,446,0.9249999999999999,0.8563671112067504,0.23360029743787677,0.3609865470852018,0.9700691337942253,0.6390134529147982,161,368,11927,285
Consolidation,Female,9553,368,0.725,0.789107654256704,0.11884508978228457,0.3967391304347826,0.900163309744148,0.6032608695652174,146,917,8268,222
Consolidation,Male,12741,583,0.725,0.8131095944562969,0.15244013747299145,0.4065180102915952,0.8979272906728081,0.5934819897084048,237,1241,10917,346
