label,group,n,positive,threshold,AUROC,AUPRC,Recall,Specificity,FNR,TP,FP,TN,FN
Infiltration,Female,9553,1685,0.61,0.6981185103163624,0.3359439080552885,0.5032640949554896,0.7961362480935434,0.4967359050445104,848,1604,6264,837
Infiltration,Male,12741,2412,0.61,0.6974688029179946,0.3484320035841739,0.49543946932006633,0.7841030109400716,0.5045605306799337,1195,2230,8099,1217
Effusion,Female,9553,1127,0.71,0.8721116306459219,0.509442410353538,0.6326530612244898,0.8937811535722763,0.3673469387755102,713,895,7531,414
Effusion,Male,12741,1426,0.71,0.8745310405393428,0.48228953184442297,0.6451612903225806,0.8900574458683164,0.3548387096774194,920,1244,10071,506
Atelectasis,Female,9553,848,0.605,0.7855199381184094,0.28204688700276176,0.5082547169811321,0.8611143021252154,0.49174528301886794,431,1209,7496,417
Atelectasis,Male,12741,1359,0.605,0.7789847750259276,0.3074209767069095,0.5695364238410596,0.8207696362677912,0.4304635761589404,774,2040,9342,585
Nodule,Female,9553,576,0.7449999999999999,0.7398466412622381,0.20916473052440301,0.2899305555555556,0.9422969811741116,0.7100694444444444,167,518,8459,409
Nodule,Male,12741,704,0.7449999999999999,0.7535850044748389,0.21210150072745093,0.37926136363636365,0.9253136163495888,0.6207386363636364,267,899,11138,437
Mass,Female,9553,423,0.8699999999999999,0.8280756811902672,0.27488796972829876,0.2789598108747045,0.9814895947426068,0.7210401891252955,118,169,8961,305
Mass,Male,12741,653,0.8699999999999999,0.8202175876142591,0.2840123053783148,0.31852986217457885,0.967819324950364,0.6814701378254211,208,389,11699,445
Pneumothorax,Female,9553,574,0.84,0.8384734725586959,0.31824066792366434,0.39547038327526135,0.9567880610312952,0.6045296167247387,227,388,8591,347
Pneumothorax,Male,12741,446,0.84,0.8623787058430913,0.2331919375658553,0.38565022421524664,0.9651077673851159,0.6143497757847534,172,429,11866,274
Consolidation,Female,9553,368,0.7449999999999999,0.7868389209722847,0.11464771652287743,0.296195652173913,0.9179096352749048,0.7038043478260869,109,754,8431,259
Consolidation,Male,12741,583,0.7449999999999999,0.816203435779955,0.15946903151242953,0.34476843910806176,0.9193946372758678,0.6552315608919382,201,980,11178,382
