label,train_positive,val_positive,test_positive,train_prevalence,val_prevalence,test_prevalence,train_female_positive,train_male_positive,val_female_positive,val_male_positive,test_female_positive,test_male_positive,broad_eligible,broad_exclusion_reason,core_selected,core_exclusion_reason
Infiltration,13868,1929,4097,0.17582696233184994,0.17611613256642017,0.18377141831883018,5925,7943,857,1072,1685,2412,True,,True,
Effusion,9533,1231,2553,0.12086518834075032,0.11238929973523236,0.11451511617475554,4220,5313,535,696,1127,1426,True,,True,
Atelectasis,8262,1090,2207,0.10475067513597809,0.09951611430658266,0.09899524535749529,3363,4899,442,648,848,1359,True,,True,
Nodule,4415,636,1280,0.05597606278447631,0.05806628321007943,0.05741455100026913,1754,2661,316,320,576,704,True,,True,
Mass,4199,507,1076,0.053237483042359236,0.046288688030676525,0.04826410693460124,1617,2582,213,294,423,653,True,,True,
Pneumothorax,3841,441,1020,0.048698540691998526,0.04026294165981923,0.04575222032833946,1837,2004,174,267,574,446,True,,True,
Consolidation,3280,436,951,0.04158584052844446,0.03980644572263307,0.04265721718848121,1392,1888,241,195,368,583,True,,True,
Pleural_Thickening,2424,301,660,0.030732950439313834,0.027481055418606775,0.02960437785951377,975,1449,109,192,259,401,True,,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum
Cardiomegaly,1863,295,618,0.023620250275759765,0.026933260293983383,0.02772046290481744,994,869,117,178,358,260,True,,False,train positives below minimum | validation positives below minimum | test positives below minimum | male test positives below minimum
Emphysema,1727,258,531,0.021895959327019387,0.023555190358805808,0.023818067641517896,641,1086,78,180,187,344,True,,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum
Edema,1639,210,454,0.02078024165430502,0.01917282936181868,0.020364223557907957,821,818,109,101,169,285,True,,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum | male test positives below minimum
Fibrosis,1145,177,364,0.014517008355203935,0.01615995617639003,0.016327262940701533,530,615,85,92,156,208,False,train positives below minimum | validation positives below minimum | test positives below minimum,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum | male test positives below minimum
Pneumonia,982,155,294,0.01245039493869892,0.01415137405277093,0.013187404682874316,411,571,67,88,115,179,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum | male test positives below minimum
Hernia,158,21,48,0.002003220366918971,0.001917282936181868,0.0021530456625100925,94,64,10,11,27,21,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum | male test positives below minimum,False,train positives below minimum | validation positives below minimum | test positives below minimum | female test positives below minimum | male test positives below minimum
