model_variant,seed,model,label,selected_threshold,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_FNR,male_FNR,female_FPR,male_FPR,FNR_gap,FPR_gap,Equalized_Odds_gap,AUROC_gap,AUPRC_gap,Worst_group_Recall,Worst_group_AUROC
r50_baseline,42,r50_baseline,Infiltration,0.5149999999999999,0.7048965523355974,0.3440383207465345,0.7030369795995951,0.7059707433080187,0.4112759643916914,0.4021558872305141,0.2910523640061007,0.3026430438571014,0.009120077161177298,0.011590679851000707,0.011590679851000707,0.0029337637084235757,0.01836276299105366,0.5887240356083087,0.7030369795995951
r50_baseline,42,r50_baseline,Effusion,0.7549999999999999,0.8740030139225812,0.49167105847296355,0.8701555648833597,0.8771016951148389,0.39840283939662824,0.41865357643758766,0.0905530500830762,0.08572691117984976,0.02025073704095942,0.004826138903226432,0.020250737040959366,0.006946130231479275,0.028068728593597658,0.5813464235624124,0.8701555648833597
r50_baseline,42,r50_baseline,Atelectasis,0.7599999999999999,0.8068523242427386,0.3393829066726535,0.808642831597542,0.8043633952580459,0.5224056603773585,0.46357615894039733,0.10189546237794371,0.13468634686346864,0.05882950143696114,0.03279088448552493,0.058829501436961085,0.004279436339496123,0.026997405209189085,0.47759433962264153,0.8043633952580459
r50_baseline,42,r50_baseline,Nodule,0.695,0.764609140781146,0.22025752223838643,0.7629189139219982,0.766335050261693,0.6284722222222222,0.6079545454545454,0.07263005458393673,0.08739719199135998,0.020517676767676796,0.014767137407423248,0.02051767676767674,0.003416136339694842,0.029314582643664516,0.3715277777777778,0.7629189139219982
r50_baseline,42,r50_baseline,Mass,0.71,0.8360705480476875,0.2930462217969033,0.8438843704929324,0.830810148750916,0.5295508274231678,0.5237366003062787,0.055093099671412925,0.06163136995367306,0.00581422711688917,0.006538270282260138,0.006538270282260138,0.013074221742016445,0.0273463919575353,0.47044917257683216,0.830810148750916
r50_baseline,42,r50_baseline,Pneumothorax,0.7949999999999999,0.8676548931126462,0.3151438671129385,0.8536418503414664,0.8745136836039294,0.4808362369337979,0.5964125560538116,0.06281323087203475,0.03310288735258235,0.1155763191200137,0.029710343519452398,0.1155763191200137,0.020871833262463002,0.0877896759063797,0.40358744394618834,0.8536418503414664
r50_baseline,42,r50_baseline,Consolidation,0.7599999999999999,0.8102950491725629,0.14882054988309332,0.790074791129204,0.8225666235052089,0.6902173913043478,0.6346483704974271,0.0678279804028307,0.0697483138674124,0.05556902080692072,0.0019203334645817027,0.05556902080692072,0.03249183237600495,0.035465530884987245,0.30978260869565216,0.790074791129204
r50_baseline,123,r50_baseline,Infiltration,0.4699999999999999,0.7062604257053853,0.3476226949989024,0.7048376098805362,0.7072885403556329,0.4629080118694362,0.44361525704809285,0.242755465175394,0.26333623777713233,0.01929275482134335,0.020580772601738323,0.020580772601738323,0.002450930475096702,0.011451650210346831,0.5370919881305638,0.7048376098805362
r50_baseline,123,r50_baseline,Effusion,0.6449999999999999,0.8700399114875276,0.49019599501406913,0.8655469370484858,0.8742901694990886,0.3318544809228039,0.2980364656381487,0.12342748635176834,0.1308882015024304,0.03381801528465522,0.007460715150662073,0.03381801528465522,0.008743232450602711,0.01975862017675889,0.6681455190771961,0.8655469370484858
r50_baseline,123,r50_baseline,Atelectasis,0.565,0.8065228219185825,0.3344560006062811,0.8102203515654632,0.8025879714804717,0.5011792452830188,0.4311994113318617,0.119586444572085,0.1547179757511861,0.06997983395115714,0.03513153117910109,0.0699798339511572,0.0076323800849915635,0.010830924987513812,0.4988207547169811,0.8025879714804717
r50_baseline,123,r50_baseline,Nodule,0.73,0.7655717430938898,0.2284599694865772,0.7549805134727017,0.7757977651294872,0.6822916666666666,0.625,0.050573688314581706,0.06305557863254964,0.05729166666666663,0.012481890317967932,0.057291666666666685,0.020817251656785496,0.017427246606159186,0.3177083333333333,0.7549805134727017
r50_baseline,123,r50_baseline,Mass,0.825,0.8283480069352634,0.28741497331376575,0.837543080121906,0.8220891993679833,0.6737588652482269,0.5941807044410413,0.02497261774370208,0.04839510258107214,0.0795781608071856,0.023422484837370056,0.07957816080718555,0.015453880753922733,0.002817420811398408,0.3262411347517731,0.8220891993679833
r50_baseline,123,r50_baseline,Pneumothorax,0.8499999999999999,0.864024990460601,0.29845873281365065,0.8451006277520174,0.8792501964960783,0.5871080139372822,0.6165919282511211,0.04421427775921595,0.02464416429442863,0.0294839143138389,0.01957011346478732,0.029483914313838844,0.03414956874406083,0.03361972546689218,0.3834080717488789,0.8451006277520174
r50_baseline,123,r50_baseline,Consolidation,0.7549999999999999,0.8026328074034671,0.1434814839464047,0.790423895292419,0.8098523810424043,0.7282608695652174,0.6500857632933105,0.05138813282525857,0.08496463234084553,0.07817510627190694,0.03357649951558696,0.07817510627190694,0.019428485749985347,0.00830344609331668,0.2717391304347826,0.790423895292419
r50_baseline,2026,r50_baseline,Infiltration,0.62,0.709480271305654,0.3510723641186901,0.7092529330390615,0.7092083191041276,0.5234421364985163,0.4684908789386401,0.19128113879003558,0.22664343111627458,0.05495125755987623,0.035362292326239,0.05495125755987618,4.461393493382371e-05,0.01031916536812183,0.47655786350148366,0.7092083191041276
r50_baseline,2026,r50_baseline,Effusion,0.7449999999999999,0.8713792496495897,0.49124566201334774,0.8680761327121381,0.8745024074708757,0.3469387755102041,0.3450210378681627,0.11298362212200333,0.11153336279275299,0.001917737642041395,0.0014502593292503446,0.001917737642041395,0.006426274758737582,0.03376255715316501,0.6530612244897959,0.8680761327121381
r50_baseline,2026,r50_baseline,Atelectasis,0.715,0.8143329349229358,0.34801019884945317,0.8151341670911318,0.8124996040247378,0.5247641509433962,0.47902869757174393,0.09913842619184376,0.12177121771217712,0.0457354533716523,0.02263279152033336,0.0457354533716523,0.002634563066394091,0.02504858776597607,0.47523584905660377,0.8124996040247378
r50_baseline,2026,r50_baseline,Nodule,0.7849999999999999,0.7686735256852575,0.22290665814103236,0.7745121019147699,0.7651109599567998,0.6892361111111112,0.6676136363636364,0.049682522000668375,0.05084323336379497,0.021622474747474807,0.001160711363126593,0.02162247474747475,0.00940114195797015,0.021368166861700316,0.3107638888888889,0.7651109599567998
r50_baseline,2026,r50_baseline,Mass,0.8699999999999999,0.8344762162728495,0.28897716414595326,0.8423519998757119,0.828466057487562,0.6359338061465721,0.5742725880551302,0.03231106243154436,0.05228325612177366,0.06166121809144198,0.019972193690229303,0.06166121809144193,0.013885942388149886,0.014780531642087424,0.3640661938534279,0.828466057487562
r50_baseline,2026,r50_baseline,Pneumothorax,0.8949999999999999,0.8755181230149294,0.3153103600260565,0.8533461545774831,0.898484563888124,0.4930313588850174,0.5627802690582959,0.057578794966031854,0.03692557950386336,0.0697489101732785,0.020653215462168494,0.06974891017327861,0.04513840931064095,0.09036226177929563,0.437219730941704,0.8533461545774831
r50_baseline,2026,r50_baseline,Consolidation,0.7899999999999999,0.810220014166491,0.15037293861490975,0.7930211710965421,0.8212231067389717,0.6222826086956522,0.49914236706689535,0.08633641807294502,0.11424576410593848,0.12314024162875686,0.027909346032993457,0.12314024162875675,0.028201935642429565,0.036041307597525274,0.37771739130434784,0.7930211710965421
