model_variant,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_baseline,Female,Atelectasis,9553.0,848.0,8705.0,0.8113324500847123,0.3289341972862763,0.4838836477987421,0.4838836477987421,0.5161163522012578,0.8931265556193759,0.8931265556193759,0.10687344438062417,0.0,0.0,0.0,0.0033855474387418467,0.0048040592972238725,0.01298955317756155,0.01298955317756155,0.012989553177561597,0.011095746596508464,0.011095746596508464,0.011095746596508447,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Consolidation,9553.0,368.0,9185.0,0.7911732858393883,0.1331054477105025,0.3197463768115942,0.3197463768115942,0.6802536231884058,0.931482489566322,0.931482489566322,0.0685175104336781,0.0,0.0,0.0,0.0016098069362187805,0.006976830380691682,0.053687106930208124,0.053687106930208124,0.053687106930208096,0.017484342972671117,0.017484342972671117,0.017484342972671145,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Effusion,9553.0,1127.0,8426.0,0.8679262115479945,0.5076504015557498,0.6409346347234546,0.6409346347234546,0.3590653652765454,0.8910119471477174,0.8910119471477174,0.10898805285228262,0.0,0.0,0.0,0.0023079687815668235,0.004447084987179444,0.034892142932342364,0.034892142932342364,0.03489214293234234,0.016797487024490517,0.016797487024490517,0.016797487024490527,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Infiltration,9553.0,1685.0,7868.0,0.7057091741730642,0.3402637570946622,0.5341246290801187,0.5341246290801187,0.4658753709198813,0.7583036773428232,0.7583036773428232,0.24169632265717675,0.0,0.0,0.0,0.00319831792156603,0.0059355778056360544,0.056141931353269,0.056141931353269,0.05614193135326891,0.04989404455878594,0.04989404455878594,0.04989404455878596,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Mass,9553.0,423.0,9130.0,0.8412598168301835,0.29122064942317666,0.38691883372734437,0.38691883372734437,0.6130811662726556,0.9625410733844468,0.9625410733844468,0.03745892661555312,0.0,0.0,0.0,0.003308721618106134,0.013317802385188931,0.07477079580453591,0.07477079580453591,0.0747707958045359,0.01570624834682493,0.01570624834682493,0.015706248346824873,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Nodule,9553.0,576.0,8977.0,0.7641371764364898,0.2382174065202539,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9423712450336045,0.9423712450336045,0.05762875496639561,0.0,0.0,0.0,0.00982261978462189,0.0016027077351796835,0.03325910427199312,0.03325910427199312,0.033259104271993106,0.01299914562620145,0.01299914562620145,0.01299914562620148,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Female,Pneumothorax,9553.0,574.0,8979.0,0.8506962108903223,0.34281368680046836,0.4796747967479675,0.4796747967479675,0.5203252032520326,0.9451312321342392,0.9451312321342392,0.05486876786576086,0.0,0.0,0.0,0.004848172025564983,0.024298673977432003,0.058156152745154205,0.058156152745154205,0.058156152745154156,0.009591060910366501,0.009591060910366501,0.00959106091036651,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Atelectasis,12741.0,1359.0,11382.0,0.8064836569210851,0.3498931699405026,0.542065244051999,0.542065244051999,0.457934755948001,0.8629414865577227,0.8629414865577227,0.1370585134422773,0.0,0.0,0.0,0.005285049390777139,0.008615906951276373,0.02440858919204695,0.02440858919204695,0.024408589192046956,0.01660098180917208,0.01660098180917208,0.016600981809172105,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Consolidation,12741.0,583.0,12158.0,0.8178807037621949,0.15970887590244556,0.40537449971412237,0.40537449971412237,0.5946255002858777,0.9103470965619346,0.9103470965619346,0.08965290343806546,0.0,0.0,0.0,0.006985107987362851,0.008910349384451047,0.08305028489456875,0.08305028489456875,0.08305028489456873,0.02261615979434388,0.02261615979434388,0.022616159794343893,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Effusion,12741.0,1426.0,11315.0,0.8752980906949345,0.4804537662479092,0.646096306685367,0.646096306685367,0.35390369331463295,0.8906171748416556,0.8906171748416556,0.1093828251583444,0.0,0.0,0.0,0.0015655679214877372,0.002595825587905406,0.06079718768361381,0.06079718768361381,0.06079718768361383,0.02265731989860804,0.02265731989860804,0.022657319898608044,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Infiltration,12741.0,2412.0,10329.0,0.707489200922593,0.3536416166178363,0.5619126589275844,0.5619126589275844,0.4380873410724157,0.735792429083164,0.735792429083164,0.2642075709168361,0.0,0.0,0.0,0.0016280886819325965,0.0018689399624691766,0.03351120965445596,0.03351120965445596,0.033511209654455906,0.03800729798695469,0.03800729798695469,0.0380072979869547,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Mass,12741.0,653.0,12088.0,0.8271218018688203,0.2944701292578598,0.4359367023991833,0.4359367023991833,0.5640632976008167,0.9458967571144937,0.9458967571144937,0.05410324288550628,0.0,0.0,0.0,0.004513203619526483,0.008519296576572723,0.03631480635392019,0.03631480635392019,0.03631480635392016,0.006803231390660294,0.006803231390660294,0.006803231390660356,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Nodule,12741.0,704.0,12037.0,0.7690812584493267,0.21551407448307916,0.3664772727272727,0.3664772727272727,0.6335227272727272,0.9329013320040985,0.9329013320040985,0.06709866799590153,0.0,0.0,0.0,0.005848777287357922,0.006789751853090269,0.030729130188613563,0.030729130188613563,0.030729130188613542,0.018609349841852908,0.018609349841852908,0.018609349841852897,3,3,3,3,3,3,3,3,3,3,3
r50_baseline,Male,Pneumothorax,12741.0,446.0,12295.0,0.8840828146627105,0.2722231324162792,0.4080717488789238,0.4080717488789238,0.5919282511210762,0.9684424562830419,0.9684424562830419,0.03155754371695812,0.0,0.0,0.0,0.012695133877125757,0.007787146284972612,0.027184653930453242,0.027184653930453242,0.027184653930453283,0.006284851239349796,0.006284851239349796,0.006284851239349818,3,3,3,3,3,3,3,3,3,3,3
