model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
baseline,42,Infiltration,9553,1685,7868,0.4749999999999999,0.7063623225354854,0.3366051060147992,0.5317507418397626,0.5317507418397626,0.4682492581602374,0.762709710218607,0.762709710218607,0.237290289781393,896,1867,6001,789,Female
baseline,42,Infiltration,12741,2412,10329,0.4749999999999999,0.7020890802064805,0.3492153407021067,0.5982587064676617,0.5982587064676617,0.4017412935323383,0.6952270306902895,0.6952270306902895,0.30477296930971054,1443,3148,7181,969,Male
baseline,42,Effusion,9553,1127,8426,0.63,0.864749978464848,0.4979402417135299,0.6592724046140195,0.6592724046140195,0.34072759538598046,0.87870875860432,0.87870875860432,0.12129124139568004,743,1022,7404,384,Female
baseline,42,Effusion,12741,1426,11315,0.63,0.8746019104826159,0.4817005293701065,0.6486676016830295,0.6486676016830295,0.35133239831697055,0.8828104286345559,0.8828104286345559,0.1171895713654441,925,1326,9989,501,Male
baseline,42,Atelectasis,9553,848,8705,0.595,0.798276107311998,0.2996869674785602,0.4988207547169811,0.4988207547169811,0.5011792452830188,0.872027570361861,0.872027570361861,0.127972429638139,423,1114,7591,425,Female
baseline,42,Atelectasis,12741,1359,11382,0.595,0.8021419255504443,0.3415076624261969,0.5658572479764533,0.5658572479764533,0.43414275202354674,0.8411526972412581,0.8411526972412581,0.15884730275874187,769,1808,9574,590,Male
baseline,42,Nodule,9553,576,8977,0.6799999999999999,0.7580910861708317,0.22876473861136348,0.3107638888888889,0.3107638888888889,0.6892361111111112,0.9507630611562883,0.9507630611562883,0.049236938843711706,179,442,8535,397,Female
baseline,42,Nodule,12741,704,12037,0.6799999999999999,0.7570062737430799,0.21171890947437685,0.3877840909090909,0.3877840909090909,0.6122159090909091,0.9204951399850461,0.9204951399850461,0.0795048600149539,273,957,11080,431,Male
baseline,42,Mass,9553,423,9130,0.8799999999999999,0.8401005699134384,0.28654540939083956,0.3049645390070922,0.3049645390070922,0.6950354609929078,0.9763417305585981,0.9763417305585981,0.023658269441401973,129,216,8914,294,Female
baseline,42,Mass,12741,653,12088,0.8799999999999999,0.822677217505521,0.28251829792630667,0.39356814701378257,0.39356814701378257,0.6064318529862175,0.9546657842488419,0.9546657842488419,0.045334215751158174,257,548,11540,396,Male
baseline,42,Pneumothorax,9553,574,8979,0.725,0.8535311584560646,0.3296966487845864,0.519163763066202,0.519163763066202,0.4808362369337979,0.9329546720124735,0.9329546720124735,0.06704532798752645,298,602,8377,276,Female
baseline,42,Pneumothorax,12741,446,12295,0.725,0.8760878405856038,0.27137160222417656,0.4618834080717489,0.4618834080717489,0.5381165919282511,0.9564863765758438,0.9564863765758438,0.04351362342415616,206,535,11760,240,Male
baseline,42,Consolidation,9553,368,9185,0.7599999999999999,0.7962583725828974,0.12884962865723013,0.3423913043478261,0.3423913043478261,0.657608695652174,0.9291235710397387,0.9291235710397387,0.07087642896026129,126,651,8534,242,Female
baseline,42,Consolidation,12741,583,12158,0.7599999999999999,0.8231947877813478,0.1790711303981259,0.3893653516295026,0.3893653516295026,0.6106346483704974,0.9272906728080277,0.9272906728080277,0.07270932719197236,227,884,11274,356,Male
