model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Infiltration,9553,1685,7868,0.5049999999999999,0.7042312020745868,0.3310340716993778,0.599406528189911,0.599406528189911,0.40059347181008903,0.6981443823080834,0.6981443823080834,0.3018556176919166,1010,2375,5493,675,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Infiltration,12741,2412,10329,0.5049999999999999,0.7086587386108152,0.3541687815194936,0.593698175787728,0.593698175787728,0.40630182421227196,0.7105237680317552,0.7105237680317552,0.28947623196824473,1432,2990,7339,980,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Effusion,9553,1127,8426,0.7499999999999999,0.8715967878188335,0.5092560149554437,0.6033717834960071,0.6033717834960071,0.3966282165039929,0.9086161879895561,0.9086161879895561,0.09138381201044386,680,770,7656,447,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Effusion,12741,1426,11315,0.7499999999999999,0.8765563343226821,0.4794901485067921,0.591164095371669,0.591164095371669,0.40883590462833097,0.9085285019885109,0.9085285019885109,0.09147149801148917,843,1035,10280,583,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Atelectasis,9553,848,8705,0.7,0.8149552144180855,0.3330799423005448,0.4716981132075472,0.4716981132075472,0.5283018867924528,0.9020103388856979,0.9020103388856979,0.09798966111430213,400,853,7852,448,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Atelectasis,12741,1359,11382,0.7,0.8119932405568142,0.3584722853146854,0.5011037527593819,0.5011037527593819,0.4988962472406181,0.8891231769460551,0.8891231769460551,0.11087682305394482,681,1262,10120,678,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Nodule,9553,576,8977,0.715,0.7677823264391718,0.24151100471041986,0.3680555555555556,0.3680555555555556,0.6319444444444444,0.9319371727748691,0.9319371727748691,0.06806282722513089,212,611,8366,364,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Nodule,12741,704,12037,0.715,0.772634518945373,0.21734570674579554,0.3963068181818182,0.3963068181818182,0.6036931818181818,0.9240674586691036,0.9240674586691036,0.0759325413308964,279,914,11123,425,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Mass,9553,423,9130,0.7799999999999999,0.8430829701785867,0.2791367826862015,0.4373522458628842,0.4373522458628842,0.5626477541371159,0.9547645125958379,0.9547645125958379,0.045235487404162104,185,413,8717,238,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Mass,12741,653,12088,0.7799999999999999,0.8333028439731909,0.30203325441239287,0.4563552833078101,0.4563552833078101,0.5436447166921899,0.9440767703507611,0.9440767703507611,0.05592322964923892,298,676,11412,355,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Pneumothorax,9553,574,8979,0.6599999999999999,0.857994049607815,0.36859605192588885,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.929724913687493,0.929724913687493,0.07027508631250697,328,631,8348,246,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Pneumothorax,12741,446,12295,0.6599999999999999,0.8780205231263576,0.27856713991384746,0.4977578475336323,0.4977578475336323,0.5022421524663677,0.9491663277755185,0.9491663277755185,0.0508336722244815,222,625,11670,224,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Consolidation,9553,368,9185,0.7499999999999999,0.786088790797851,0.1314462315779234,0.38858695652173914,0.38858695652173914,0.6114130434782609,0.9068045726728361,0.9068045726728361,0.09319542732716385,143,856,8329,225,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Consolidation,12741,583,12158,0.7499999999999999,0.8230452416538449,0.16035018324092945,0.44768439108061747,0.44768439108061747,0.5523156089193825,0.898914295114328,0.898914295114328,0.10108570488567198,261,1229,10929,322,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,9553,1685,7868,0.49499999999999994,0.7095112003849873,0.3374616268476017,0.6189910979228487,0.6189910979228487,0.3810089020771513,0.6888662938485003,0.6888662938485003,0.31113370615149977,1043,2448,5420,642,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,12741,2412,10329,0.49499999999999994,0.7108108206827868,0.353776827388652,0.6268656716417911,0.6268656716417911,0.373134328358209,0.6701519992254816,0.6701519992254816,0.32984800077451837,1512,3407,6922,900,Male
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,9553,1127,8426,0.7699999999999999,0.8705626792972526,0.5133981482136865,0.5696539485359361,0.5696539485359361,0.4303460514640639,0.9197721338713506,0.9197721338713506,0.08022786612864942,642,676,7750,485,Female
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,12741,1426,11315,0.7699999999999999,0.8758865870188082,0.48477042481219657,0.5490883590462833,0.5490883590462833,0.45091164095371666,0.9216968625718074,0.9216968625718074,0.07830313742819267,783,886,10429,643,Male
