model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_eo_projected_twostage,2026,Infiltration,9553,1685,7868,0.6,0.7069046915047844,0.3356835427691111,0.5157270029673591,0.5157270029673591,0.48427299703264093,0.7760549059481444,0.7760549059481444,0.22394509405185561,869,1762,6106,816,Female
r50_dynamic_eo_projected_twostage,2026,Infiltration,12741,2412,10329,0.6,0.7102598152619611,0.35483030970408047,0.535240464344942,0.535240464344942,0.46475953565505806,0.7633846451737826,0.7633846451737826,0.23661535482621746,1291,2444,7885,1121,Male
r50_dynamic_eo_projected_twostage,2026,Effusion,9553,1127,8426,0.7649999999999999,0.868389524459615,0.5034823455061237,0.5794143744454303,0.5794143744454303,0.42058562555456963,0.9158556847851888,0.9158556847851888,0.0841443152148113,653,709,7717,474,Female
r50_dynamic_eo_projected_twostage,2026,Effusion,12741,1426,11315,0.7649999999999999,0.8774145826606319,0.48127122939129935,0.5427769985974754,0.5427769985974754,0.45722300140252453,0.9257622624834291,0.9257622624834291,0.07423773751657092,774,840,10475,652,Male
r50_dynamic_eo_projected_twostage,2026,Atelectasis,9553,848,8705,0.635,0.8110846347252176,0.32735250626345064,0.5058962264150944,0.5058962264150944,0.49410377358490565,0.8876507754164273,0.8876507754164273,0.11234922458357266,429,978,7727,419,Female
r50_dynamic_eo_projected_twostage,2026,Atelectasis,12741,1359,11382,0.635,0.8103393569413462,0.355994493898437,0.5401030169242089,0.5401030169242089,0.459896983075791,0.8647865050079072,0.8647865050079072,0.1352134949920928,734,1539,9843,625,Male
r50_dynamic_eo_projected_twostage,2026,Nodule,9553,576,8977,0.7999999999999999,0.7737240153849962,0.2313330603144105,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9434109390665033,0.9434109390665033,0.056589060933496714,192,508,8469,384,Female
r50_dynamic_eo_projected_twostage,2026,Nodule,12741,704,12037,0.7999999999999999,0.7642453169960803,0.2041259270899221,0.3309659090909091,0.3309659090909091,0.6690340909090909,0.941596743374595,0.941596743374595,0.058403256625405,233,703,11334,471,Male
r50_dynamic_eo_projected_twostage,2026,Mass,9553,423,9130,0.825,0.83305705089863,0.2926354860692924,0.36879432624113473,0.36879432624113473,0.6312056737588653,0.9645125958378971,0.9645125958378971,0.035487404162102956,156,324,8806,267,Female
r50_dynamic_eo_projected_twostage,2026,Mass,12741,653,12088,0.825,0.8183329270900583,0.2861426873227113,0.39509954058192953,0.39509954058192953,0.6049004594180705,0.9545830575777631,0.9545830575777631,0.04541694242223693,258,549,11539,395,Male
r50_dynamic_eo_projected_twostage,2026,Pneumothorax,9553,574,8979,0.7849999999999999,0.8521550283995989,0.3386142793278505,0.5052264808362369,0.5052264808362369,0.49477351916376305,0.9409733823365631,0.9409733823365631,0.059026617663436906,290,530,8449,284,Female
r50_dynamic_eo_projected_twostage,2026,Pneumothorax,12741,446,12295,0.7849999999999999,0.8837293952662226,0.2654911894862219,0.452914798206278,0.452914798206278,0.547085201793722,0.9621797478649857,0.9621797478649857,0.037820252135014235,202,465,11830,244,Male
r50_dynamic_eo_projected_twostage,2026,Consolidation,9553,368,9185,0.74,0.7656511088494947,0.11649191523838179,0.358695652173913,0.358695652173913,0.6413043478260869,0.9097441480675014,0.9097441480675014,0.09025585193249865,132,829,8356,236,Female
r50_dynamic_eo_projected_twostage,2026,Consolidation,12741,583,12158,0.74,0.8085600767707743,0.15300869767572034,0.42538593481989706,0.42538593481989706,0.5746140651801029,0.8999835499259746,0.8999835499259746,0.10001645007402533,248,1216,10942,335,Male
