model_variant,seed,model,label,selected_threshold,test_AUROC,test_AUPRC,female_AUROC,male_AUROC,female_FNR,male_FNR,female_FPR,male_FPR,FNR_gap,FPR_gap,Equalized_Odds_gap,AUROC_gap,AUPRC_gap,Worst_group_Recall,Worst_group_AUROC
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Infiltration,0.5599999999999999,0.7062474215528691,0.3485022163125363,0.7011419882059924,0.709069258220467,0.5044510385756676,0.4792703150912106,0.2056431113370615,0.2292574305353858,0.025180723484457046,0.023614319198324296,0.02518072348445699,0.007927270014474574,0.01723226510095588,0.49554896142433236,0.7011419882059924
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Effusion,0.8099999999999999,0.8705609063141279,0.48455288224818294,0.8678062851473162,0.8728930368963737,0.40550133096716945,0.40813464235624125,0.09470685971991455,0.09359257622624834,0.002633311389071802,0.0011142834936662127,0.0026333113890717463,0.005086751749057483,0.034560969147662046,0.5918653576437588,0.8678062851473162
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Atelectasis,0.6649999999999999,0.8105396486768736,0.34315396310880275,0.8100908445590801,0.8110075692368404,0.4080188679245283,0.4201618837380427,0.15255600229753016,0.15577227200843438,0.012143015813514402,0.003216269710904218,0.01214301581351429,0.0009167246777602722,0.019314564383305644,0.5798381162619574,0.8100908445590801
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Nodule,0.7749999999999999,0.7568937858392024,0.21795598690338244,0.7550059449766686,0.7604075997681391,0.6284722222222222,0.6008522727272727,0.06928818090676173,0.08432333637949656,0.027619949494949503,0.015035155472734832,0.027619949494949503,0.005401654791470478,0.012598376985338222,0.3715277777777778,0.7550059449766686
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Mass,0.8649999999999999,0.8373562804044123,0.31096019303199895,0.845615213918213,0.8315196598096856,0.6359338061465721,0.557427258805513,0.0343921139101862,0.04632693580410324,0.07850654734105911,0.011934821893917043,0.07850654734105905,0.014095554108527475,0.040626947184745466,0.3640661938534279,0.8315196598096856
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Pneumothorax,0.8699999999999999,0.8730414277208486,0.3062538882179323,0.8561476003046986,0.8895854343064827,0.5,0.5829596412556054,0.05201024612985856,0.03261488409922733,0.0829596412556054,0.019395362030631226,0.0829596412556054,0.03343783400178413,0.058694590393760626,0.4170403587443946,0.8561476003046986
r50_dynamic_grl_fast_ramp_v2,42,r50_dynamic_grl_fast_ramp_v2,Consolidation,0.7599999999999999,0.8149367254871154,0.1604014707504445,0.7990088991976522,0.8240493874675267,0.5407608695652174,0.4716981132075472,0.10375612411540555,0.1316828425727916,0.06906275635767023,0.027926718457386035,0.06906275635767023,0.025040488269874484,0.03674129132126147,0.4592391304347826,0.7990088991976522
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Infiltration,0.4699999999999999,0.6987832056742261,0.34851179201194604,0.7003027324745541,0.6968884761014369,0.4617210682492582,0.43449419568822556,0.24567869852567362,0.281634233710911,0.027226872561032622,0.03595553518523739,0.03595553518523739,0.003414256373117208,6.267961213746176e-05,0.5382789317507418,0.6968884761014369
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Effusion,0.6799999999999999,0.8700133036968976,0.4876888032881284,0.8662441705028021,0.8748546499917261,0.3593611357586513,0.3120617110799439,0.10977925468787088,0.12788334069818824,0.0472994246787074,0.018104086010317363,0.0472994246787074,0.008610479488924017,0.014607122810221307,0.6406388642413487,0.8662441705028021
r50_dynamic_grl_fast_ramp_v2,123,r50_dynamic_grl_fast_ramp_v2,Atelectasis,0.6,0.8088664558378122,0.33664749783254533,0.8131024920615998,0.804828965192837,0.5424528301886793,0.49374540103016923,0.095807007466973,0.12660340889123176,0.04870742915851006,0.030796401424258754,0.04870742915850995,0.008273526868762815,0.03896564400171282,0.45754716981132076,0.804828965192837
