model_variant,group,label,support_mean,positive_support_mean,negative_support_mean,AUROC_mean,AUPRC_mean,TPR_mean,Recall_mean,FNR_mean,TNR_mean,Specificity_mean,FPR_mean,support_std,positive_support_std,negative_support_std,AUROC_std,AUPRC_std,TPR_std,Recall_std,FNR_std,TNR_std,Specificity_std,FPR_std,support_n_seeds,positive_support_n_seeds,negative_support_n_seeds,AUROC_n_seeds,AUPRC_n_seeds,TPR_n_seeds,Recall_n_seeds,FNR_n_seeds,TNR_n_seeds,Specificity_n_seeds,FPR_n_seeds
r50_dynamic_grl_fast_ramp_v2,Female,Atelectasis,9553.0,848.0,8705.0,0.8101091552602964,0.3184620173860678,0.5188679245283019,0.5188679245283019,0.4811320754716981,0.8756653264407429,0.8756653264407429,0.12433467355925713,0.0,0.0,0.0,0.002984223582777889,0.012799323997125793,0.06798837408207345,0.06798837408207345,0.0679883740820735,0.028375737620377373,0.028375737620377373,0.028375737620377334,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Consolidation,9553.0,368.0,9185.0,0.7945186701695425,0.12999315196105746,0.41304347826086957,0.41304347826086957,0.5869565217391305,0.9045182362547631,0.9045182362547631,0.0954817637452368,0.0,0.0,0.0,0.005582214636808448,0.008454519029492917,0.09203094685802228,0.09203094685802228,0.0920309468580223,0.025209721308056716,0.025209721308056716,0.025209721308056713,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Effusion,9553.0,1127.0,8426.0,0.8684231698437949,0.5025637720729471,0.6152026027802425,0.6152026027802425,0.3847973972197574,0.8983701242186882,0.8983701242186882,0.10162987578131182,0.0,0.0,0.0,0.0025441651290533823,0.003719942108133301,0.02343129526215717,0.02343129526215717,0.02343129526215717,0.007610666652042623,0.007610666652042623,0.007610666652042636,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Infiltration,9553.0,1685.0,7868.0,0.7013212441486304,0.3422608333094946,0.49713155291790306,0.49713155291790306,0.502868447082097,0.787324182341976,0.787324182341976,0.21267581765802404,0.0,0.0,0.0,0.0011189606755490878,0.006216440991933837,0.04037934978333711,0.04037934978333711,0.040379349783337126,0.030108961039419516,0.030108961039419516,0.030108961039419527,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Mass,9553.0,423.0,9130.0,0.8437614200623685,0.2914782124348355,0.34436564223798266,0.34436564223798266,0.6556343577620173,0.9700620664476086,0.9700620664476086,0.029937933552391383,0.0,0.0,0.0,0.003066592924895623,0.00483480738338371,0.01896171696692823,0.01896171696692823,0.018961716966928218,0.004283317817031688,0.004283317817031688,0.004283317817031753,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Nodule,9553.0,576.0,8977.0,0.7642427381291282,0.23202530162693472,0.36574074074074076,0.36574074074074076,0.6342592592592592,0.9291894099736364,0.9291894099736364,0.07081059002636368,0.0,0.0,0.0,0.008571858018981351,0.005022123624705064,0.016409082035599334,0.016409082035599334,0.016409082035599352,0.008183105663398854,0.008183105663398854,0.00818310566339885,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Female,Pneumothorax,9553.0,574.0,8979.0,0.8548045193592121,0.34007043143178767,0.46689895470383275,0.46689895470383275,0.5331010452961672,0.9482124958235884,0.9482124958235884,0.051787504176411626,0.0,0.0,0.0,0.005036992626518722,0.020725584072492205,0.028679577758108556,0.028679577758108556,0.028679577758108594,0.00534928609356183,0.00534928609356183,0.005349286093561787,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Male,Atelectasis,12741.0,1359.0,11382.0,0.8070029932928363,0.35120343343572197,0.5450085847436841,0.5450085847436841,0.4549914152563159,0.8585485854858549,0.8585485854858549,0.14145141451414514,0.0,0.0,0.0,0.003472314219657549,0.001423466184805164,0.03694840335079827,0.03694840335079827,0.036948403350798215,0.014591574889286566,0.014591574889286566,0.014591574889286621,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Male,Consolidation,12741.0,583.0,12158.0,0.8189360620704841,0.1601408071941316,0.48999428244711263,0.48999428244711263,0.5100057175528874,0.8745133519767506,0.8745133519767506,0.12548664802324944,0.0,0.0,0.0,0.007985833304809281,0.013602152639273871,0.053540845551101064,0.053540845551101064,0.053540845551101036,0.013529456696239279,0.013529456696239279,0.013529456696239258,3,3,3,3,3,3,3,3,3,3,3
r50_dynamic_grl_fast_ramp_v2,Male,Effusion,12741.0,1426.0,11315.0,0.8758786643768475,0.4831879735818809,0.6348761103319308,0.6348761103319308,0.36512388966806925,0.8931212255118574,0.8931212255118574,0.10687877448814258,0.0,0.0,0.0,0.0036083101864605293,0.012762974688753094,0.048818801736336445,0.048818801736336445,0.048818801736336445,0.018402283414152797,0.018402283414152797,0.018402283414152776,3,3,3,3,3,3,3,3,3,3,3
