model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_grl_fast_ramp_v2,42,Infiltration,9553,1685,7868,0.5599999999999999,0.7011419882059924,0.33857637138366475,0.49554896142433236,0.49554896142433236,0.5044510385756676,0.7943568886629385,0.7943568886629385,0.2056431113370615,835,1618,6250,850,Female
r50_dynamic_grl_fast_ramp_v2,42,Infiltration,12741,2412,10329,0.5599999999999999,0.709069258220467,0.35580863648462063,0.5207296849087893,0.5207296849087893,0.4792703150912106,0.7707425694646142,0.7707425694646142,0.2292574305353858,1256,2368,7961,1156,Male
r50_dynamic_grl_fast_ramp_v2,42,Effusion,9553,1127,8426,0.8099999999999999,0.8678062851473162,0.5047557773925564,0.5944986690328306,0.5944986690328306,0.40550133096716945,0.9052931402800855,0.9052931402800855,0.09470685971991455,670,798,7628,457,Female
r50_dynamic_grl_fast_ramp_v2,42,Effusion,12741,1426,11315,0.8099999999999999,0.8728930368963737,0.47019480824489435,0.5918653576437588,0.5918653576437588,0.40813464235624125,0.9064074237737516,0.9064074237737516,0.09359257622624834,844,1059,10256,582,Male
r50_dynamic_grl_fast_ramp_v2,42,Atelectasis,9553,848,8705,0.6649999999999999,0.8100908445590801,0.33315283121202616,0.5919811320754716,0.5919811320754716,0.4080188679245283,0.8474439977024698,0.8474439977024698,0.15255600229753016,502,1328,7377,346,Female
r50_dynamic_grl_fast_ramp_v2,42,Atelectasis,12741,1359,11382,0.6649999999999999,0.8110075692368404,0.3524673955953318,0.5798381162619574,0.5798381162619574,0.4201618837380427,0.8442277279915656,0.8442277279915656,0.15577227200843438,788,1773,9609,571,Male
r50_dynamic_grl_fast_ramp_v2,42,Nodule,9553,576,8977,0.7749999999999999,0.7550059449766686,0.22643776217623288,0.3715277777777778,0.3715277777777778,0.6284722222222222,0.9307118190932383,0.9307118190932383,0.06928818090676173,214,622,8355,362,Female
r50_dynamic_grl_fast_ramp_v2,42,Nodule,12741,704,12037,0.7749999999999999,0.7604075997681391,0.21383938519089465,0.3991477272727273,0.3991477272727273,0.6008522727272727,0.9156766636205035,0.9156766636205035,0.08432333637949656,281,1015,11022,423,Male
r50_dynamic_grl_fast_ramp_v2,42,Mass,9553,423,9130,0.8649999999999999,0.845615213918213,0.28673659243714833,0.3640661938534279,0.3640661938534279,0.6359338061465721,0.9656078860898138,0.9656078860898138,0.0343921139101862,154,314,8816,269,Female
r50_dynamic_grl_fast_ramp_v2,42,Mass,12741,653,12088,0.8649999999999999,0.8315196598096856,0.3273635396218938,0.442572741194487,0.442572741194487,0.557427258805513,0.9536730641958967,0.9536730641958967,0.04632693580410324,289,560,11528,364,Male
r50_dynamic_grl_fast_ramp_v2,42,Pneumothorax,9553,574,8979,0.8699999999999999,0.8561476003046986,0.33385104440137975,0.5,0.5,0.5,0.9479897538701414,0.9479897538701414,0.05201024612985856,287,467,8512,287,Female
r50_dynamic_grl_fast_ramp_v2,42,Pneumothorax,12741,446,12295,0.8699999999999999,0.8895854343064827,0.2751564540076191,0.4170403587443946,0.4170403587443946,0.5829596412556054,0.9673851159007727,0.9673851159007727,0.03261488409922733,186,401,11894,260,Male
r50_dynamic_grl_fast_ramp_v2,42,Consolidation,9553,368,9185,0.7599999999999999,0.7990088991976522,0.1387805434300102,0.4592391304347826,0.4592391304347826,0.5407608695652174,0.8962438758845944,0.8962438758845944,0.10375612411540555,169,953,8232,199,Female
r50_dynamic_grl_fast_ramp_v2,42,Consolidation,12741,583,12158,0.7599999999999999,0.8240493874675267,0.17552183475127167,0.5283018867924528,0.5283018867924528,0.4716981132075472,0.8683171574272084,0.8683171574272084,0.1316828425727916,308,1601,10557,275,Male
