model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_dynamic_grl,42,Infiltration,9553,1685,7868,0.5499999999999999,0.7014002555519181,0.33865848838385404,0.4902077151335312,0.4902077151335312,0.5097922848664689,0.791814946619217,0.791814946619217,0.20818505338078291,826,1638,6230,859,Female
r50_dynamic_grl,42,Infiltration,12741,2412,10329,0.5499999999999999,0.7079577746212623,0.3537824162194443,0.5041459369817579,0.5041459369817579,0.49585406301824214,0.7827476038338658,0.7827476038338658,0.21725239616613418,1216,2244,8085,1196,Male
r50_dynamic_grl,42,Effusion,9553,1127,8426,0.7449999999999999,0.869668838856196,0.5015752763885881,0.6308784383318545,0.6308784383318545,0.3691215616681455,0.8954426774270117,0.8954426774270117,0.10455732257298837,711,881,7545,416,Female
r50_dynamic_grl,42,Effusion,12741,1426,11315,0.7449999999999999,0.8782866827102749,0.4890577929637908,0.6500701262272089,0.6500701262272089,0.349929873772791,0.8965974370304906,0.8965974370304906,0.1034025629695095,927,1170,10145,499,Male
r50_dynamic_grl,42,Atelectasis,9553,848,8705,0.7549999999999999,0.8041316257193329,0.3077622309895725,0.45872641509433965,0.45872641509433965,0.5412735849056604,0.8983342906375646,0.8983342906375646,0.10166570936243538,389,885,7820,459,Female
r50_dynamic_grl,42,Atelectasis,12741,1359,11382,0.7549999999999999,0.8076705806477805,0.3584744015981055,0.5084621044885945,0.5084621044885945,0.4915378955114054,0.8862238622386224,0.8862238622386224,0.11377613776137761,691,1295,10087,668,Male
r50_dynamic_grl,42,Nodule,9553,576,8977,0.7,0.7663171623779288,0.2349028888298983,0.3940972222222222,0.3940972222222222,0.6059027777777778,0.9207975938509524,0.9207975938509524,0.07920240614904757,227,711,8266,349,Female
r50_dynamic_grl,42,Nodule,12741,704,12037,0.7,0.7727303999222095,0.22110887285708342,0.43892045454545453,0.43892045454545453,0.5610795454545454,0.9081997175375924,0.9081997175375924,0.09180028246240758,309,1105,10932,395,Male
r50_dynamic_grl,42,Mass,9553,423,9130,0.8749999999999999,0.8308247820424186,0.2999195922355573,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9776560788608981,0.9776560788608981,0.02234392113910186,141,204,8926,282,Female
r50_dynamic_grl,42,Mass,12741,653,12088,0.8749999999999999,0.8293144175991681,0.30172484480133177,0.32465543644716693,0.32465543644716693,0.6753445635528331,0.972203838517538,0.972203838517538,0.027796161482461945,212,336,11752,441,Male
r50_dynamic_grl,42,Pneumothorax,9553,574,8979,0.72,0.8496361816751669,0.3417638433128121,0.5418118466898955,0.5418118466898955,0.45818815331010454,0.9331774139659205,0.9331774139659205,0.06682258603407952,311,600,8379,263,Female
r50_dynamic_grl,42,Pneumothorax,12741,446,12295,0.72,0.8859103649629713,0.26505467345796174,0.4663677130044843,0.4663677130044843,0.5336322869955157,0.958438389589264,0.958438389589264,0.04156161041073607,208,511,11784,238,Male
r50_dynamic_grl,42,Consolidation,9553,368,9185,0.7499999999999999,0.7917922061016306,0.13796925091892562,0.35054347826086957,0.35054347826086957,0.6494565217391305,0.923462166575939,0.923462166575939,0.07653783342406097,129,703,8482,239,Female
r50_dynamic_grl,42,Consolidation,12741,583,12158,0.7499999999999999,0.8214883394934112,0.1603258504037393,0.379073756432247,0.379073756432247,0.6209262435677531,0.9216153972692878,0.9216153972692878,0.0783846027307123,221,953,11205,362,Male
r50_dynamic_grl,123,Infiltration,9553,1685,7868,0.5149999999999999,0.6982063845739569,0.3414174381761385,0.51513353115727,0.51513353115727,0.48486646884273,0.7677935943060499,0.7677935943060499,0.23220640569395018,868,1827,6041,817,Female
r50_dynamic_grl,123,Infiltration,12741,2412,10329,0.5149999999999999,0.6982706357199705,0.3477623463525802,0.5281923714759535,0.5281923714759535,0.47180762852404645,0.7526382031174363,0.7526382031174363,0.24736179688256366,1274,2555,7774,1138,Male
r50_dynamic_grl,123,Effusion,9553,1127,8426,0.69,0.8662029957133989,0.49956906664951123,0.6131322094055013,0.6131322094055013,0.38686779059449866,0.8980536434844529,0.8980536434844529,0.10194635651554712,691,859,7567,436,Female
r50_dynamic_grl,123,Effusion,12741,1426,11315,0.69,0.8756192210937709,0.4936211072518832,0.6598877980364657,0.6598877980364657,0.34011220196353437,0.8854617764030048,0.8854617764030048,0.11453822359699514,941,1296,10019,485,Male
r50_dynamic_grl,123,Atelectasis,9553,848,8705,0.565,0.806332973892688,0.3174984245572375,0.5259433962264151,0.5259433962264151,0.4740566037735849,0.8770821367030442,0.8770821367030442,0.12291786329695577,446,1070,7635,402,Female
r50_dynamic_grl,123,Atelectasis,12741,1359,11382,0.565,0.8077701401422719,0.35639661816407486,0.5739514348785872,0.5739514348785872,0.4260485651214128,0.8458970303988754,0.8458970303988754,0.15410296960112457,780,1754,9628,579,Male
r50_dynamic_grl,123,Nodule,9553,576,8977,0.705,0.7647377015954352,0.22866112173545444,0.296875,0.296875,0.703125,0.9526567895733541,0.9526567895733541,0.047343210426645875,171,425,8552,405,Female
r50_dynamic_grl,123,Nodule,12741,704,12037,0.705,0.7691828037792563,0.22909645793919525,0.3622159090909091,0.3622159090909091,0.6377840909090909,0.9427598238763811,0.9427598238763811,0.05724017612361884,255,689,11348,449,Male
r50_dynamic_grl,123,Mass,9553,423,9130,0.82,0.8423921346248955,0.30485602410646717,0.37115839243498816,0.37115839243498816,0.6288416075650118,0.9713033953997809,0.9713033953997809,0.02869660460021906,157,262,8868,266,Female
r50_dynamic_grl,123,Mass,12741,653,12088,0.82,0.8301601172818422,0.28518682187242594,0.4012251148545176,0.4012251148545176,0.5987748851454824,0.9526803441429517,0.9526803441429517,0.04731965585704831,262,572,11516,391,Male
r50_dynamic_grl,123,Pneumothorax,9553,574,8979,0.84,0.8404667996133448,0.29870344587450903,0.44076655052264807,0.44076655052264807,0.5592334494773519,0.9504399153580577,0.9504399153580577,0.04956008464194231,253,445,8534,321,Female
r50_dynamic_grl,123,Pneumothorax,12741,446,12295,0.84,0.8769070149555855,0.2667464875973911,0.35201793721973096,0.35201793721973096,0.647982062780269,0.974705164701098,0.974705164701098,0.02529483529890199,157,311,11984,289,Male
r50_dynamic_grl,123,Consolidation,9553,368,9185,0.725,0.79610482592128,0.1254416916986104,0.3016304347826087,0.3016304347826087,0.6983695652173914,0.9277082199237888,0.9277082199237888,0.07229178007621122,111,664,8521,257,Female
r50_dynamic_grl,123,Consolidation,12741,583,12158,0.725,0.8148493379197908,0.1491914593370053,0.4236706689536878,0.4236706689536878,0.5763293310463122,0.8940615232768547,0.8940615232768547,0.10593847672314526,247,1288,10870,336,Male
r50_dynamic_grl,2026,Infiltration,9553,1685,7868,0.585,0.7101580756065586,0.34265943211243505,0.45222551928783383,0.45222551928783383,0.5477744807121662,0.8336298932384342,0.8336298932384342,0.16637010676156583,762,1309,6559,923,Female
r50_dynamic_grl,2026,Infiltration,12741,2412,10329,0.585,0.7032682578972694,0.34912708495850786,0.47429519071310117,0.47429519071310117,0.5257048092868989,0.8135347081033982,0.8135347081033982,0.1864652918966018,1144,1926,8403,1268,Male
r50_dynamic_grl,2026,Effusion,9553,1127,8426,0.6799999999999999,0.8698447004886848,0.49739209978052845,0.6282165039929015,0.6282165039929015,0.3717834960070985,0.8933064324709233,0.8933064324709233,0.10669356752907666,708,899,7527,419,Female
r50_dynamic_grl,2026,Effusion,12741,1426,11315,0.6799999999999999,0.8771279730824367,0.48591773200462546,0.6332398316970547,0.6332398316970547,0.3667601683029453,0.8985417587273531,0.8985417587273531,0.10145824127264692,903,1148,10167,523,Male
