model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group
r50_static_grl,2026,Infiltration,9553,1685,7868,0.48499999999999993,0.7140777954951054,0.35086454611111384,0.6178041543026707,0.6178041543026707,0.3821958456973294,0.6907727503812913,0.6907727503812913,0.3092272496187087,1041,2433,5435,644,Female
r50_static_grl,2026,Infiltration,12741,2412,10329,0.48499999999999993,0.7046598501345532,0.35085260987940353,0.6218905472636815,0.6218905472636815,0.3781094527363184,0.6701519992254816,0.6701519992254816,0.32984800077451837,1500,3407,6922,912,Male
r50_static_grl,2026,Effusion,9553,1127,8426,0.6599999999999999,0.8704311516451697,0.5055802623582993,0.6317657497781721,0.6317657497781721,0.3682342502218279,0.886660337051982,0.886660337051982,0.11333966294801803,712,955,7471,415,Female
r50_static_grl,2026,Effusion,12741,1426,11315,0.6599999999999999,0.8791231463651806,0.4915665698368669,0.6549789621318373,0.6549789621318373,0.3450210378681627,0.8938577110030932,0.8938577110030932,0.10614228899690677,934,1201,10114,492,Male
r50_static_grl,2026,Atelectasis,9553,848,8705,0.6599999999999999,0.8042649258179532,0.3149212124030021,0.4339622641509434,0.4339622641509434,0.5660377358490566,0.9051120045950604,0.9051120045950604,0.0948879954049397,368,826,7879,480,Female
r50_static_grl,2026,Atelectasis,12741,1359,11382,0.6599999999999999,0.8075439978619275,0.3506760442974912,0.4863870493009566,0.4863870493009566,0.5136129506990434,0.8914074855034264,0.8914074855034264,0.10859251449657353,661,1236,10146,698,Male
r50_static_grl,2026,Nodule,9553,576,8977,0.72,0.7719880976693526,0.24444488698150377,0.3611111111111111,0.3611111111111111,0.6388888888888888,0.9350562548735658,0.9350562548735658,0.06494374512643422,208,583,8394,368,Female
r50_static_grl,2026,Nodule,12741,704,12037,0.72,0.7660324794006358,0.21549947365638597,0.4090909090909091,0.4090909090909091,0.5909090909090909,0.9184182105175708,0.9184182105175708,0.08158178948242918,288,982,11055,416,Male
r50_static_grl,2026,Mass,9553,423,9130,0.8949999999999999,0.8468501989906757,0.2997429834435745,0.3262411347517731,0.3262411347517731,0.6737588652482269,0.9731653888280394,0.9731653888280394,0.02683461117196057,138,245,8885,285,Female
r50_static_grl,2026,Mass,12741,653,12088,0.8949999999999999,0.8324822916782797,0.2847405028427072,0.37519142419601836,0.37519142419601836,0.6248085758039816,0.9611184645929848,0.9611184645929848,0.03888153540701522,245,470,11618,408,Male
r50_static_grl,2026,Pneumothorax,9553,574,8979,0.7599999999999999,0.8550914192736981,0.33550639631365153,0.47909407665505227,0.47909407665505227,0.5209059233449478,0.9371867691279653,0.9371867691279653,0.06281323087203475,275,564,8415,299,Female
r50_static_grl,2026,Pneumothorax,12741,446,12295,0.7599999999999999,0.8689727677407235,0.22695865067023124,0.4618834080717489,0.4618834080717489,0.5381165919282511,0.9542903619357462,0.9542903619357462,0.04570963806425376,206,562,11733,240,Male
r50_static_grl,2026,Consolidation,9553,368,9185,0.715,0.788912688457078,0.125267503457242,0.3016304347826087,0.3016304347826087,0.6983695652173914,0.9255307566684812,0.9255307566684812,0.07446924333151878,111,684,8501,257,Female
r50_static_grl,2026,Consolidation,12741,583,12158,0.715,0.8223186732041837,0.16465091230866621,0.37735849056603776,0.37735849056603776,0.6226415094339622,0.9224379009705543,0.9224379009705543,0.07756209902944564,220,943,11215,363,Male
